wk,n,anger,share_angry,anger_dem,anger_rep,n_dem,n_rep,disgust,fear,sadness,joy,baseline,excess,spike_score,dem_excess,rep_excess
2024-10-21,7055,0.30405839905664217,0.30531537916371365,0.2318165981609725,0.3782765911356525,3665.0,3339.0,0.2886275194115372,0.17613342255542042,0.12635112907334867,0.48828649878525654,0.29944903039189646,0.0046093686647457055,0.12403807852207521,0.004395363997288376,0.0
2024-10-28,8074,0.2973572940621359,0.29625959871191476,0.20567952143204432,0.39652533901265985,4232.0,3802.0,0.2824197336596501,0.14700236684593823,0.119939346626472,0.5169983094726298,0.29944903039189646,-0.002091736329760563,-0.05608266107382564,-0.0217417127316398,0.024420037388369287
2024-11-04,6194,0.22825715947088965,0.2147239263803681,0.163116556721826,0.27762534794248556,2723.0,3448.0,0.209994349026575,0.11277503863850312,0.09645678842254404,0.5667008765718894,0.29944903039189646,-0.07119187092100682,-1.9087633136492865,-0.06430467744185811,-0.094479953681805
2024-11-11,6098,0.2472850539933914,0.23565103312561494,0.21524412010565708,0.26887303071208984,2576.0,3487.0,0.22575989497372517,0.12234110312497261,0.10342115948875348,0.5634642485513912,0.2973572940621359,-0.0500722400687445,-1.318287247338299,0.0,-0.10009505029748833
2024-11-18,6452,0.3554162055931183,0.35709857408555484,0.2747402539309609,0.41437623219594283,2747.0,3666.0,0.3318089347065531,0.18163898172776052,0.145143359599497,0.42523116622183943,0.2832873559868958,0.07212884960622251,1.8994124460295068,0.06906073249891659,0.07574385595650229
2024-11-25,4201,0.261668045827496,0.25708164722685073,0.18102359061994264,0.3199248201419111,1808.0,2354.0,0.2451751856627712,0.1348426206272616,0.11531578995572513,0.5491581757879804,0.2973572940621359,-0.035689248234639925,-0.9378163830970051,-0.03422052948571444,-0.029662126816811296
2024-12-02,5309,0.33931407598199886,0.3352797136937276,0.2600333583672943,0.39064089615929654,2121.0,3155.0,0.3215564332141445,0.17270809488995872,0.15655692723167636,0.41393513460822523,0.30405839905664217,0.035255676925356694,0.8937300869666288,0.0282167602063218,0.04105394920057415
2024-12-09,4978,0.3078171527928977,0.30273202089192447,0.2662097021680537,0.3329663082437966,1940.0,2995.0,0.28840572942190873,0.1613746942017211,0.12639173713075683,0.469453805100572,0.3078171527928977,0.0,0.0,0.006176343800759376,0.0
2024-12-16,5782,0.4006642001737083,0.4021099965409893,0.4041989741498795,0.39515255505603963,2595.0,3141.0,0.3813063153688287,0.1499942990485176,0.16604983189677358,0.3776387097053465,0.3164684271066409,0.08419577306706738,2.1249027813786863,0.1379892719818258,0.06218624681224305
2024-12-23,3177,0.23519003718401352,0.22851746931067043,0.14849434918158746,0.30114674336794234,1384.0,1768.0,0.2262839112990132,0.1110687719599095,0.15843751589947333,0.5779960524104066,0.33714354490537224,-0.10195350772135872,-2.562725185625674,-0.1199202012608496,-0.040138700551913875
