cycle,party,weeks_to_election,n,anger
2018,Democrat,38,2931,0.3655033342663233
2018,Democrat,39,3385,0.39777630479535864
2018,Democrat,40,2977,0.37942171944400715
2018,Democrat,41,3219,0.5093445738639513
2018,Democrat,42,2689,0.3657191711042926
2018,Democrat,43,2440,0.37999506241977826
2018,Democrat,44,1035,0.28091317992387477
2018,Democrat,45,1882,0.4339840047469206
2018,Democrat,46,3327,0.4617377763386197
2018,Democrat,47,3136,0.37411857542217464
2018,Democrat,48,3192,0.5095149866176331
2018,Democrat,49,1699,0.33739380088726334
2018,Democrat,50,3064,0.4218899102983528
2018,Democrat,51,3271,0.3887426195627329
2018,Democrat,52,3579,0.3919332162830323
2018,Democrat,53,3236,0.35470723209998195
2018,Democrat,54,3514,0.3199355512839945
2018,Democrat,55,6004,0.28996352239337864
2018,Democrat,56,4421,0.337778601866585
2018,Democrat,57,4431,0.3124388380022814
2018,Democrat,58,4728,0.39017894044644535
2018,Democrat,59,4138,0.31079968046961887
2018,Democrat,60,3394,0.21507941863180452
2018,Democrat,61,2884,0.3185333101202872
2018,Democrat,62,3232,0.31122324643956295
2018,Democrat,63,3368,0.345600529144559
2018,Democrat,64,3020,0.3855869821275874
2018,Democrat,65,2789,0.25568952519772525
2018,Democrat,66,4141,0.3739343926882242
2018,Democrat,67,4070,0.38479753955809687
2018,Democrat,68,4391,0.401219493070135
2018,Democrat,69,2947,0.35903037531939114
2018,Democrat,70,2565,0.37577657957559496
2018,Democrat,71,4528,0.4291150849573758
2018,Democrat,72,3792,0.3016773217896423
2018,Democrat,73,3654,0.38774648476399676
2018,Democrat,74,2298,0.38917759258380713
2018,Democrat,75,2827,0.3860960486104503
2018,Democrat,76,3645,0.39519254926180747
2018,Democrat,77,3575,0.3968367703946737
2018,Democrat,78,3412,0.4789127249490816
2018,Democrat,79,3781,0.3723873592866597
2018,Democrat,80,2442,0.3016161558383818
2018,Democrat,81,2210,0.2936284989636914
2018,Democrat,82,2907,0.34857713894098086
2018,Democrat,83,3240,0.35363828734441566
2018,Democrat,84,4037,0.48943322503411896
2018,Democrat,85,3745,0.46475884497367115
2018,Democrat,86,3707,0.4395643960119765
2018,Democrat,87,3604,0.42505019854891946
2018,Democrat,88,2893,0.3516554105951236
2018,Democrat,89,2787,0.4162737075535157
2018,Democrat,90,2917,0.41049199673649844
2018,Democrat,91,3072,0.42259705001727826
2018,Democrat,92,3562,0.48364065110904114
2018,Democrat,93,2681,0.36186427545046984
2018,Democrat,94,2579,0.33809307708104147
2018,Democrat,95,2627,0.401833853498243
2018,Democrat,96,787,0.3152350080394798
2018,Democrat,97,847,0.25487580027875467
2018,Democrat,98,1806,0.24036367273201562
2018,Democrat,99,2529,0.2386982978519366
2018,Democrat,100,2025,0.2081712741129974
2018,Democrat,101,872,0.2001489875015777
2018,Democrat,102,1123,0.2602182958915312
2018,Democrat,103,858,0.20388236262624984
2018,Republican,0,1697,0.12049778698834891
2018,Republican,1,2194,0.1869176256334759
2018,Republican,2,1830,0.1328073154554748
2018,Republican,3,2318,0.1251534505510611
2018,Republican,4,2144,0.13787388710093115
2018,Republican,5,2327,0.1385183042799994
2018,Republican,6,2174,0.11594747021394201
2018,Republican,7,2980,0.10829675037526344
2018,Republican,8,2763,0.11067100065408751
2018,Republican,9,1536,0.12433135163306967
2018,Republican,10,1862,0.10570129227502398
2018,Republican,11,1828,0.1341018713119132
2018,Republican,12,1800,0.1144470991124399
2018,Republican,13,1926,0.1209479013427914
2018,Republican,14,2183,0.15794970395778993
2018,Republican,15,2443,0.1788109746788115
2018,Republican,16,2492,0.20811405981555253
2018,Republican,17,1684,0.11236449830027213
2018,Republican,18,2196,0.14088320360775147
2018,Republican,19,2468,0.1760745097963612
2018,Republican,20,2778,0.1522024037439478
2018,Republican,21,526,0.17069538262895814
2018,Republican,22,1749,0.13171704833700895
2018,Republican,23,2015,0.12908613405446925
2018,Republican,24,2515,0.13350895550972217
2018,Republican,25,2360,0.11856502242104182
2018,Republican,26,2205,0.140646539850038
2018,Republican,27,2304,0.12343572939274357
2018,Republican,28,2512,0.1213335204906769
2018,Republican,29,2903,0.19212739988595254
2018,Republican,30,1815,0.14067407346628197
2018,Republican,31,1696,0.09180736908017008
2018,Republican,32,2350,0.18014805974498233
2018,Republican,33,1644,0.1481903954159804
2018,Republican,34,1695,0.1527495247479473
2018,Republican,35,2260,0.1286964879697807
2018,Republican,36,1781,0.10733639044663097
2018,Republican,37,1653,0.1393723788387235
2018,Republican,38,2099,0.1498656818115655
2018,Republican,39,2595,0.15420615941928503
2018,Republican,40,2257,0.13727806652819768
2018,Republican,41,3139,0.37027190873985644
2018,Republican,42,1862,0.13979396726771046
2018,Republican,43,1672,0.13915120667703315
2018,Republican,44,831,0.11126302419035336
2018,Republican,45,1573,0.13322532568742668
2018,Republican,46,1799,0.12163536321437023
2018,Republican,47,1848,0.12566697079808253
2018,Republican,48,1928,0.1508429194539708
2018,Republican,49,1030,0.1004915796107278
2018,Republican,50,1916,0.14406279485202678
2018,Republican,51,2107,0.0985001437244455
2018,Republican,52,2267,0.13831860523130277
2018,Republican,53,1959,0.1361825084280472
2018,Republican,54,1840,0.13213547622929225
2018,Republican,55,2219,0.11801168251339449
2018,Republican,56,2131,0.12486182312240299
2018,Republican,57,2933,0.10950026812652323
2018,Republican,58,2331,0.11147340509234654
2018,Republican,59,2656,0.12012711036727688
2018,Republican,60,2908,0.12943749893741732
2018,Republican,61,1863,0.11138233773973213
2018,Republican,62,2377,0.09572338524713743
