year,party,age_bracket,n,anger,anger_dev
2015,Democrat,40,3552,0.14877444232056528,-0.012536142084101809
2015,Democrat,45,8601,0.15535915332370775,-0.00595143108095933
2015,Democrat,50,12951,0.15213468743973377,-0.009175896964933317
2015,Democrat,55,18330,0.14514581697123644,-0.01616476743343065
2015,Democrat,60,15842,0.1630701840076796,0.0017595996030125294
2015,Democrat,65,18555,0.1834297850118321,0.022119200607165018
2015,Democrat,70,10788,0.16793364031636338,0.006623055911696291
2015,Democrat,75,3950,0.2157881621162914,0.054477577711624314
2015,Democrat,80,901,0.1829749966969509,0.021664412292283802
2015,Democrat,85,492,0.22175746642969307,0.06044688202502599
2015,Republican,30,1049,0.10184073295476212,-0.06895081415662688
2015,Republican,35,5741,0.14820261466712054,-0.02258893244426846
2015,Republican,40,6715,0.19932258616850662,0.028531039057117624
2015,Republican,45,10772,0.16001756418310226,-0.01077398292828674
2015,Republican,50,18303,0.1578535610057837,-0.012937986105605287
2015,Republican,55,16183,0.16033529072037958,-0.010456256391009416
2015,Republican,60,21191,0.16798495782167572,-0.0028065892897132794
2015,Republican,65,6345,0.19804182947503948,0.027250282363650485
2015,Republican,70,4455,0.20600726222828467,0.03521571511689567
2015,Republican,75,4547,0.21557901745370428,0.04478747034231528
2015,Republican,80,1233,0.21826777781948253,0.047476230708093536
2016,Democrat,35,4626,0.1775003625812807,-0.021261278185609217
2016,Democrat,40,3986,0.15086647945494058,-0.04789516131194935
2016,Democrat,45,9325,0.15962361426304916,-0.03913802650384077
2016,Democrat,50,12267,0.1868454623908039,-0.011916178376086023
2016,Democrat,55,19286,0.20291172212096867,0.0041500813540787385
2016,Democrat,60,15659,0.1724808628978388,-0.026280777869051142
2016,Democrat,65,24299,0.23242115329438723,0.0336595125274973
2016,Democrat,70,12817,0.19755948533613144,-0.0012021554307584947
2016,Democrat,75,5814,0.24316355837740505,0.044401917610515124
2016,Democrat,80,2148,0.20897402490352174,0.010212384136631808
2016,Democrat,85,552,0.2881121044587074,0.08935046369181746
2016,Republican,30,865,0.0485293535413382,-0.10900762765860889
2016,Republican,35,6484,0.14923320032853976,-0.008303780871407318
2016,Republican,40,5558,0.1675932749806504,0.01005629378070333
2016,Republican,45,10114,0.147532722939755,-0.010004258260192078
2016,Republican,50,15655,0.16591599330320034,0.008379012103253258
2016,Republican,55,19100,0.14246341713631028,-0.015073564063636802
2016,Republican,60,25124,0.1557020431983869,-0.0018349380015601768
2016,Republican,65,8822,0.15095636493857778,-0.006580616261369299
2016,Republican,70,3913,0.18932949302769453,0.03179251182774745
2016,Republican,75,3071,0.19399989027095074,0.03646290907100366
2016,Republican,80,3278,0.22401917336417432,0.06648219216422724
2017,Democrat,35,3207,0.38456563725048226,0.008250812453471534
2017,Democrat,40,12527,0.29984440554969827,-0.07647041924731246
2017,Democrat,45,6201,0.36223283063743783,-0.014081994159572897
2017,Democrat,50,26911,0.3704625657783538,-0.005852259018656936
2017,Democrat,55,28360,0.380606830393556,0.004292005596545245
2017,Democrat,60,26635,0.3565338755868269,-0.019780949210183807
2017,Democrat,65,30532,0.39644511074085526,0.020130285943844528
2017,Democrat,70,26781,0.3962858083409815,0.019970983543970755
2017,Democrat,75,6705,0.4144714428501177,0.038156618053106994
2017,Democrat,80,2127,0.3843093234018896,0.007994498604878886
2017,Democrat,85,2166,0.44978493319747803,0.0734701084004673
2017,Republican,30,1169,0.072836786257605,-0.06332182062141338
2017,Republican,35,4499,0.15320774061866368,0.01704913373964531
2017,Republican,40,5092,0.12860601314307663,-0.007552593735941748
2017,Republican,45,14265,0.13768599168740245,0.0015273848083840746
2017,Republican,50,13952,0.15983079800674896,0.023672191127730585
2017,Republican,55,16685,0.12080025295071094,-0.015358353928307436
2017,Republican,60,25540,0.1297383851330682,-0.0064202217459501665
2017,Republican,65,9475,0.12697909387425668,-0.009179513004761691
2017,Republican,70,4806,0.13512111179952294,-0.0010374950794954374
2017,Republican,75,2136,0.17563875232564202,0.03948014544662365
