year,age_bracket,n,members,anger,share_angry,negative,joy,anger_se,anger_dev
2018,45,22401,47,0.2507463602926972,0.23436453729744208,0.1874592363820703,0.49111976346470326,0.0022973421505142226,-0.036560486344244525
2018,50,32727,67,0.2822145180090809,0.27200782228740794,0.2204045697780491,0.4582773761378032,0.00199706933948681,-0.005092328627860854
2018,55,39830,100,0.2389749613502036,0.22573437107707758,0.1837518135037885,0.5143683788050544,0.0017160257179734087,-0.048331885286738124
2018,60,52481,106,0.2381002119136684,0.2229187706026943,0.18305433951614686,0.5069145556249445,0.0014802516166133363,-0.04920663472327333
2018,65,38989,87,0.3328228228114922,0.32865680063607683,0.25630830853966335,0.41173404694691346,0.001925807949714243,0.0455159761745505
2018,70,33251,61,0.3755024168261695,0.37361282367447596,0.2928698296216494,0.3783575406037755,0.00215282429231774,0.0881955701892278
2018,75,15527,25,0.3477572847154778,0.3430797964835448,0.2729314858422748,0.37411622183315896,0.003046866673542249,0.06045043807853606
2018,80,5164,13,0.2373151425669896,0.2168861347792409,0.17210893933279392,0.48264049262393266,0.004632214958177616,-0.049991704069952125
2018,85,1044,4,0.430417100318183,0.4329501915708812,0.31729833837395616,0.2959980665223487,0.011995054672651705,0.14311025368124125
2019,25,1833,1,0.4595049370409981,0.4724495362793235,0.36176954001133405,0.32664708333980114,0.009212530162990137,0.1499842345801986
2019,30,7134,14,0.213023622388187,0.19358003924866835,0.16804031331217054,0.5409983324571971,0.0037691921683031307,-0.09649708007261248
2019,35,27467,32,0.3145303028522703,0.3091710052062475,0.23735954859576316,0.4391978680547695,0.0022506294366601166,0.005009600391470803
2019,40,32894,41,0.2876319137790812,0.2790782513528303,0.2237659230481867,0.46822867181016825,0.0019850597626231625,-0.021888788681718285
2019,45,53177,64,0.27639254966703297,0.26396750474829345,0.2109295145202788,0.4658930616496487,0.0015379031443114176,-0.03312815279376652
2019,50,53529,69,0.3115418011961367,0.3044517924863158,0.24128904627729458,0.447142686378378,0.0016145771572780698,0.0020210987353372345
2019,55,57841,88,0.2861940372839784,0.2762227485693539,0.21239238777897845,0.464989779745091,0.0015035682042018495,-0.023326665176821082
