cycle,weeks_to_election,n,anger,share_angry,negative,anger_dev
2018,49,2766,0.25146848549871065,0.24150397686189443,0.19280936851705588,-0.03256297432154537
2018,50,5017,0.3173211251500788,0.30516244767789513,0.24190246478336036,0.033289665329822804
2018,51,5415,0.276163773771783,0.26223453370267774,0.20189997137306837,-0.007867686048472988
2018,52,5884,0.2958103014736874,0.2787219578518015,0.24401441908768018,0.011778841653431404
2018,53,5266,0.273228495666864,0.25275351310292443,0.2144989038975561,-0.010802964153391992
2018,54,5423,0.2580874643767953,0.2417481099022681,0.18650865970795238,-0.02594399544346071
2018,55,8270,0.24538403664976854,0.2135429262394196,0.1936972591415624,-0.03864742317048747
2018,56,6603,0.2693116554847461,0.2483719521429653,0.20356280932211188,-0.0147198043355099
2018,57,7438,0.23368454101016137,0.21040602312449583,0.21516213106374568,-0.05034691881009465
2018,58,7194,0.3002210458677352,0.29149291075896583,0.24261407967377902,0.016189586047479165
2018,59,6956,0.23658386638822235,0.21751006325474412,0.18641919773472496,-0.04744759343203367
2018,60,6341,0.17576072940130996,0.14209115281501342,0.15353289434288717,-0.10827073041894605
2018,61,4787,0.23877872203231396,0.22185084604136202,0.1752733717576491,-0.04525273778794206
2018,62,5645,0.22043490172425687,0.20283436669619131,0.17076044360920623,-0.06359655809599915
2018,63,5519,0.26530215465521917,0.2491393368363834,0.20670473547230703,-0.018729305165036847
2018,64,4824,0.32724279236555437,0.31923714759535654,0.2556715857831696,0.04321133254529835
2018,65,4874,0.19494085197551364,0.17029134181370537,0.1452696044219297,-0.08909060784474238
2018,66,6242,0.3022021612605138,0.28965075296379367,0.2248939522436685,0.018170701440257786
2018,67,6479,0.29762054208006583,0.2883160981632968,0.21983774837967246,0.013589082259809815
2018,68,6980,0.30814041220796506,0.2981375358166189,0.2220004587200234,0.02410895238770905
2018,69,4496,0.28113367231146374,0.2733540925266904,0.22363147625229784,-0.002897787508792271
2018,70,4335,0.2883241691167929,0.2795847750865052,0.21519923858562615,0.004292709296536912
2018,71,6877,0.3292515253626765,0.3185982259706267,0.26559636270638315,0.04522006554242047
2018,72,6311,0.23824719431291516,0.22009190302646173,0.19747628365003453,-0.045784265507340854
2018,73,5801,0.3000367061818432,0.28805378383037405,0.22438396117595788,0.016005246361587178
2018,74,3598,0.29737088508602944,0.2884936075597554,0.25730692546748934,0.01333942526577342
2018,75,4422,0.2980479804548544,0.2885572139303483,0.23439461518389326,0.014016520634598406
2018,76,5704,0.2994212000154032,0.288218793828892,0.22987300852195836,0.015389740195147161
2018,77,5178,0.3142947439345243,0.30764774044032445,0.22293674187200443,0.030263284114268263
2018,78,5194,0.37436204944237167,0.3725452445128995,0.2945770964015222,0.09033058962211565
2018,79,6022,0.2886628543635461,0.27930919960146133,0.19852951291325457,0.0046313945432900905
2018,80,4066,0.22176483292883906,0.20536153467781604,0.1657544424913918,-0.06226662689141696
2018,81,3549,0.21539575417932028,0.20484643561566637,0.17294766724599847,-0.06863570564093574
2018,82,5034,0.27308785420080056,0.25804529201430276,0.1973707396679405,-0.010943605619455454
2018,83,5260,0.27681149387463905,0.26102661596958177,0.1983765828098523,-0.0072199659456169685
2018,84,5931,0.39319148914905144,0.3958860225931546,0.29891037221824385,0.10916002932879543
2018,85,5874,0.3475423713958612,0.34235614572693224,0.26223421108585987,0.06351091157560518
2018,86,5835,0.33736953760146926,0.33161953727506427,0.25752877497027254,0.053338077781213244
2018,87,6025,0.3151965405808615,0.3055601659751037,0.22847169447071944,0.03116508076060548
2018,88,4887,0.2670628027769398,0.25025578064252096,0.1800786328992316,-0.016968657043316238
2018,89,4444,0.3207019421676028,0.310981098109811,0.22614112129636338,0.03667048234734677
2018,90,4629,0.3250207593339097,0.3158349535536833,0.21746159710722016,0.04098929951365371
2018,91,5362,0.32774259978656944,0.3217083177918687,0.21907579274902816,0.04371113996631343
2018,92,5538,0.3833000053871176,0.37703141928494044,0.252896628986206,0.0992685455668616
2018,93,5208,0.26506303420253513,0.25364823348694315,0.19235912844397507,-0.018968425617720885
2018,94,4514,0.2748037035722248,0.26074435090828535,0.19290834742147017,-0.009227756248031238
2018,95,5055,0.30817722572422745,0.29891196834817013,0.2115518110275612,0.02414576590397144
2018,96,1780,0.22566324219727638,0.2140449438202247,0.15393545419145166,-0.05836821762297964
2018,97,1816,0.23738057857009046,0.2263215859030837,0.17621072668529378,-0.04665088125016556
2018,98,3412,0.20670129137019794,0.18200468933177022,0.15917242091228384,-0.07733016845005808
2018,99,4724,0.18342112599243943,0.16024555461473328,0.13275018173494577,-0.10061033382781659
2018,100,4154,0.1787081404671958,0.15286470871449206,0.1224877983262739,-0.10532331935306022
2018,101,1962,0.16672541148069142,0.14831804281345565,0.13160323528887985,-0.1173060483395646
2018,102,2252,0.20286825903030492,0.18294849023090587,0.15363980704566674,-0.0811632007899511
2018,103,1897,0.16227542460760083,0.14443858724301528,0.12210330700449146,-0.12175603521265518
2020,0,10576,0.23821464565825795,0.2174735249621785,0.1963251059321248,-0.06187464796131825
2020,1,12096,0.3327474493290494,0.3296957671957672,0.2844124455004305,0.032658155709473224
2020,2,10320,0.3076666521664949,0.2956395348837209,0.25390073914489103,0.007577358546918711
2020,3,9981,0.32275349691035443,0.31650135256988277,0.265629417882885,0.02266420329077823
2020,4,10974,0.30191884215637116,0.2890468379806816,0.2593422227867491,0.001829548536794956
2020,5,12184,0.31769913120011206,0.30983256730137887,0.24648620488442344,0.01760983758053586
2020,6,12157,0.26458393441268957,0.2509665213457267,0.22639784714684377,-0.03550535920688663
