name,party,n,n_night,daytime,nighttime,night_minus_day
Bryan Steil,Republican,7116,329.0,0.2013379369874838,0.270516717325228,0.06917878033774416
Susie Lee,Democrat,10657,395.0,0.18097960244251007,0.2481012658227848,0.06712166338027473
Dina Titus,Democrat,17967,871.0,0.18201988659709098,0.24913892078071181,0.06711903418362083
Dwight Evans,Democrat,23351,847.0,0.2293416572077185,0.29634002361275086,0.06699836640503234
Mark Pocan,Democrat,14064,777.0,0.4256478815302345,0.49163449163449163,0.06598661010425716
Lizzie Fletcher,Democrat,6705,375.0,0.118600129617628,0.184,0.065399870382372
Brandon Gill,Republican,3163,321.0,0.572064552031163,0.6355140186915887,0.06344946666042572
James P. McGovern,Democrat,17988,1740.0,0.38641985159179765,0.4494252873563218,0.06300543576452416
Ami Bera,Democrat,7660,330.0,0.17668952007835456,0.23939393939393938,0.06270441931558482
Sam T. Liccardo,Democrat,2214,505.0,0.41865079365079366,0.48118811881188117,0.06253732516108751
Kevin Brady R-TX,Republican,14235,415.0,0.2752380952380952,0.3373493975903614,0.062111302352266196
Dan Crenshaw,Republican,9142,579.0,0.4790752615592305,0.540587219343696,0.0615119577844655
Alexandria Ocasio-Cortez,Democrat,9627,374.0,0.38282763072950293,0.44385026737967914,0.06102263665017621
Jack Reed,Democrat,8865,324.0,0.17364496702036133,0.23148148148148148,0.05783651446112015
Joe Neguse,Democrat,9214,964.0,0.14144271570014144,0.1991701244813278,0.057727408781186346
Sydney Kamlager-Dove,Democrat,3274,359.0,0.46342710997442454,0.520891364902507,0.05746425492808244
Richard J. Durbin,Democrat,30510,913.0,0.3453717883273779,0.4019715224534502,0.056599734126072276
Hakeem S. Jeffries,Democrat,6969,884.0,0.5474917239623122,0.6029411764705882,0.05544945250827604
Tina Smith,Democrat,10144,310.0,0.3096654766627,0.36451612903225805,0.05485065236955805
Rashida Tlaib,Democrat,10077,716.0,0.4593513993780542,0.5111731843575419,0.051821784979487695
Sharice Davids,Democrat,7372,521.0,0.1017353579175705,0.15163147792706333,0.049896120009492825
Roger F. Wicker,Republican,13019,389.0,0.2329004329004329,0.2827763496143959,0.04987591671396299
David Schweikert,Republican,7782,408.0,0.1682946682946683,0.2181372549019608,0.04984258660729249
Jimmy Panetta,Democrat,9643,561.0,0.13470813237984366,0.1836007130124777,0.04889258063263405
Michael F. Bennet,Democrat,13436,886.0,0.23356458539808392,0.28216704288939054,0.04860245749130662
Steve Womack,Republican,12474,479.0,0.11507725093233884,0.162839248434238,0.04776199750189916
Jerrold Nadler,Democrat,10098,539.0,0.4545333510850752,0.5009276437847866,0.046394292699711404
Jamie Raskin,Democrat,9109,445.0,0.33131997642899236,0.3775280898876405,0.046208113458648115
