year,party,hour_local,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2022,Republican,17,6711,0.3978869077982554,0.40932796900610935,0.32697289340674246,0.39046537712616886,0.35063624776537056,0.4250933867976008,0.20441772610509348,0.18107071077321216,0.004747972002681904,-0.03437059603390158
2022,Republican,18,4456,0.4027068426946882,0.4127019748653501,0.3328753964135227,0.3932703992622968,0.3386995571858168,0.4182633067767764,0.2027937745273843,0.18028912858856103,0.005819728632751364,-0.029550661137468792
2022,Republican,19,3276,0.409511520400085,0.4194139194139194,0.33062324220314193,0.40105294315636236,0.3346251150793868,0.4065848220633263,0.2022690727652343,0.17884396152742552,0.006796825414537193,-0.022745983432072014
2022,Republican,20,2469,0.42475790039924005,0.4313487241798299,0.3486568023578074,0.4208421074163279,0.3017369491733164,0.37688922547969517,0.1973510366350936,0.1946812643459819,0.00780355677159199,-0.007499603432916946
2022,Republican,21,1702,0.4363685057610142,0.44770857814336074,0.3457443068216015,0.42631748495552335,0.29498313614807486,0.3667378821601756,0.18587314941647837,0.18871410233521294,0.009307085679706098,0.004111001928857216
2022,Republican,22,1191,0.44277849764384075,0.45004198152812763,0.3661836363078235,0.4299610009273056,0.2797364455731437,0.34672554527580624,0.19478403095204436,0.20916373219370754,0.011356088159916922,0.010520993811683754
2022,Republican,23,542,0.4297034821646611,0.43357933579335795,0.32850286057364964,0.4188465633295559,0.27521959442827454,0.3352182226631845,0.16729863062054193,0.17752073236871718,0.0168310470434446,-0.0025540216674959093
2023,Democrat,1,380,0.3954663389619734,0.3894736842105263,0.3254936950808195,0.37517387495670274,0.36341177692244714,0.4954197218200486,0.17254483510960678,0.16349036312711082,0.020207688147724424,0.11029175976447614
2023,Democrat,2,818,0.38337415499523886,0.38875305623471884,0.2975246566222539,0.3514342769794849,0.40192284114592797,0.5404190771255533,0.16198700070574715,0.14496189090002026,0.013528260939941706,0.09819957579774158
2023,Democrat,3,1697,0.3678678455633596,0.3576900412492634,0.3050496343632476,0.34649959959734056,0.38560396551144127,0.5233004641492506,0.1866306757272326,0.1589161275052364,0.009337790199210279,0.08269326636586233
2023,Democrat,4,2975,0.35690347414088097,0.359327731092437,0.29946042839038584,0.33635553932772216,0.4007524934160609,0.5318796962236657,0.19345738157223002,0.16573329429932626,0.007049266498242664,0.07172889494338369
2023,Democrat,5,4259,0.3551577198415681,0.3543085231274947,0.28924212894935675,0.3326633330970306,0.3902032823365485,0.5331445358003472,0.19126266111619988,0.16068497561843312,0.005806309200844592,0.0699831406440708
2023,Democrat,6,5016,0.3434157532946529,0.3363237639553429,0.2747350679272209,0.3198454729980415,0.4118199581792801,0.5527726627842291,0.1933804162582728,0.1527157291921117,0.005359219590506376,0.058241174097155624
2023,Democrat,7,6544,0.32799876902706,0.32182151589242053,0.26678236196963456,0.30794134142221985,0.42417394769594896,0.5605814978449741,0.19552599936281814,0.15365685782697586,0.004641924204001231,0.04282418982956271
2023,Democrat,8,8714,0.2951675783309755,0.28597658939637366,0.24217901383389553,0.27797532596807933,0.44832198415961544,0.5824033017585553,0.1825710114367964,0.1533756794861441,0.003910884580790382,0.009992999133478231
2023,Democrat,9,11679,0.2820398185883366,0.2718554670776608,0.22984970028379845,0.2628995507633149,0.46627734119592645,0.607329966555863,0.17925960641154645,0.14594073746093744,0.0033156486032831023,-0.0031347606091606806
2023,Democrat,10,12468,0.27918517728879055,0.2722168752005133,0.22980690657487676,0.2621642779826686,0.4680017115764725,0.6043344180714871,0.1803964117271805,0.14833808439854115,0.003202204560150166,-0.005989401908706726
2023,Democrat,11,12699,0.2841609063782989,0.27348610126781636,0.23159358118279683,0.2661402523053011,0.4700844161805494,0.6074277606850832,0.18217886674068784,0.14812676759360602,0.0032001486267344715,-0.0010136728191983968
2023,Democrat,12,12456,0.27311149019997777,0.2618015414258189,0.22261737638337759,0.25609782093258987,0.47260751640147863,0.6087646063356783,0.18474206849230965,0.14572153691265657,0.0031846313527762946,-0.012063088997519511
2023,Democrat,13,11665,0.2739275189792235,0.2647235319331333,0.221566257558469,0.2571048470125388,0.47549488145254865,0.608326733443348,0.18182287533129607,0.14592984495640593,0.003285464036634061,-0.011247060218273763
2023,Democrat,14,10987,0.26642406735967805,0.2533903704377901,0.2168596474795318,0.249195818176658,0.4788067057673076,0.6159145310605891,0.18027559644084898,0.14242462866366673,0.0033459883376078187,-0.018750511837819228
2023,Democrat,15,10059,0.26281223755907307,0.25370315140670047,0.2160286910062122,0.24671743741158617,0.4951159134754384,0.6177144380050149,0.18209492853401596,0.13835115446384583,0.0035047958479858593,-0.02236234163842421
2023,Democrat,16,8882,0.25742598167672814,0.24555280342265257,0.2101606547043612,0.24074744884832977,0.49764024971016935,0.6219498962827658,0.1786324130207377,0.1427078910721531,0.003685411773341168,-0.027748597520769136
2023,Democrat,17,6957,0.2599836548233309,0.2492453643811988,0.21409895965108677,0.24357512414227034,0.5009115237188916,0.6131168289132287,0.1766310042444768,0.13885385827618532,0.004175931591093267,-0.025190924374166368
2023,Democrat,18,4621,0.26547158540459703,0.25232633629084616,0.2202594230220609,0.24899813346887237,0.5036300649958465,0.6052840619090621,0.16930458023468,0.13878196569561096,0.0052394469814144905,-0.019702993792900247
2023,Democrat,19,2796,0.25598154424503844,0.24713876967095852,0.21076322886341708,0.2403622465721133,0.5182280128216171,0.6109639748770048,0.16200868759008832,0.14018668752488078,0.006634732528006985,-0.02919303495245884
2023,Democrat,20,1768,0.27727377410699944,0.2686651583710407,0.22884676166304663,0.25890836867159317,0.4829239242447317,0.5885652246159645,0.18143507638394124,0.1478786995577546,0.00848940412672489,-0.007900805090497842
2023,Democrat,21,1074,0.28988930185583855,0.27932960893854747,0.2415742398070794,0.27862706537500675,0.4666231155887184,0.5485482752046529,0.17422788108445814,0.16278244393922778,0.010965095747493481,0.004714722658341275
2023,Democrat,22,496,0.2980433807787185,0.2903225806451613,0.2583864329062635,0.28395906653191383,0.45679607325338667,0.5368597650432945,0.20959853743120366,0.17520650962345122,0.016320143863133237,0.012868801581221223
2023,Republican,1,585,0.43855490397391284,0.4512820512820513,0.35760377504440966,0.4379495403235858,0.27123454425754584,0.3337861444578212,0.20080402319072785,0.16701159031791055,0.016018203997495543,0.029604375468471167
2023,Republican,2,1403,0.46400526149201066,0.46970776906628653,0.3633837882609917,0.4613259149962905,0.281084787907744,0.34071762716770704,0.21765026286229788,0.1720783522764801,0.01042729940413967,0.05505473298656899
2023,Republican,3,2680,0.4716759977832701,0.48507462686567165,0.3833558170732159,0.46518581992036095,0.2824281573030618,0.3539293115114126,0.2234776853224082,0.17740987571696543,0.007572503930261525,0.0627254692778284
2023,Republican,4,4188,0.4710296633919753,0.48376313276026744,0.3820860912250475,0.4603689198817839,0.2907491850585756,0.37208676396781504,0.21132145901226174,0.1789487021012986,0.006137901498014205,0.062079134886533605
2023,Republican,5,5342,0.4735045783190864,0.49138899288655935,0.37803805343860264,0.4595111481003667,0.301679486398195,0.385477273252687,0.208753146039488,0.16961476272008671,0.005481127290175372,0.06455404981364471
2023,Republican,6,5936,0.4685278476814136,0.48601752021563344,0.37541633697733684,0.45718884298099693,0.2988148959871865,0.3829337373218842,0.21412023732489988,0.1805894499289429,0.005173115998256842,0.05957731917597192
2023,Republican,7,7406,0.43764891215200685,0.45017553335133675,0.3511406909207393,0.4254399969296838,0.32930979338961736,0.41268392985624036,0.2045304527494097,0.17070982349513875,0.0046286639403371466,0.028698383646565184
