mo,n,civic,gratitude,polarizing,any_civic_lang,any_outgroup,event
2012-07-01,7289,0.01248456578405817,0.04006036493346138,0.0787487995609823,0.018246673069008096,0.12690355329949238,
2025-01-01,27960,0.03862660944206009,0.09245350500715308,0.15489985693848354,0.05525751072961373,0.18208154506437768,
2025-04-01,30164,0.02178093091101976,0.07273571144410555,0.22911417583874819,0.03839013393449145,0.25324890598063915,Tariffs; market crash
2019-10-01,43242,0.03364784237546829,0.09289579575412793,0.1287174506267055,0.05383654780074927,0.15702326441885203,
2021-01-01,44845,0.03525476641766083,0.07713234474300368,0.14516668524919166,0.06368602965770989,0.17908350986732077,January 6
2022-10-01,21790,0.03212482790270767,0.10188159706287288,0.16158788435061955,0.041762276273519965,0.19536484625975217,
2015-09-01,11704,0.018198906356801093,0.07125768967874231,0.03033151059466849,0.02563226247436774,0.04724880382775119,
2024-05-01,34816,0.04739200367647059,0.12359260110294118,0.1548138786764706,0.0690774356617647,0.18255974264705882,Memorial Day; FAA & farm bills
2013-12-01,11662,0.019121934488080947,0.06431143886125879,0.05402160864345738,0.024524095352426684,0.0894357743097239,
2018-10-01,22948,0.03799895415722503,0.10349485793968974,0.10920341641973157,0.05455813142757539,0.13221195746906048,
2024-01-01,32791,0.0436705193498216,0.09493458570949345,0.1635204781799884,0.06517032112469885,0.1947790552285688,
2024-02-01,34706,0.04569815017576211,0.09352849651357115,0.1749553391344436,0.0716590791217657,0.21365181812943007,
2025-09-01,34927,0.030234489077218197,0.08002405016176597,0.23314341340510206,0.0538838148137544,0.2585106078392075,Shutdown looms; Kirk assassination
2026-07-01,44560,0.03011669658886894,0.08657989228007182,0.15830341113105925,0.049685816876122085,0.18049820466786357,
2012-08-01,5233,0.009554748710108925,0.0523600229313969,0.04872921842155551,0.01375883814255685,0.07567360978406268,
2018-04-01,24375,0.035076923076923075,0.08594871794871795,0.07983589743589743,0.04947692307692308,0.09903589743589744,
2025-02-01,30232,0.022691188145011906,0.06314501190791215,0.2245633765546441,0.03936226514951045,0.24943768192643556,DOGE; funding fights begin
2025-12-01,34510,0.032483338162851344,0.08513474355259346,0.18420747609388582,0.052129817444219066,0.21289481309765285,
2026-02-01,43759,0.02351516259512329,0.09040425969514843,0.17831760323590576,0.040608789049109896,0.20094152060147627,
2016-02-01,16326,0.01843684919759892,0.08820286659316427,0.028237167707950508,0.024255788313120176,0.04575523704520397,
2016-07-01,19040,0.02300420168067227,0.06418067226890756,0.026470588235294117,0.03172268907563025,0.03471638655462185,
2016-11-01,9133,0.01740939450344903,0.09427351363188438,0.04204533012153728,0.021132158107960146,0.06142559947443337,
2017-02-01,18962,0.015768378862989135,0.06623773863516506,0.1169180466195549,0.023837147980170868,0.1556270435608058,
2016-12-01,13611,0.021967526265520534,0.07376386746014253,0.05142899125707149,0.03269414444199544,0.07640878701050621,
2024-07-01,32234,0.04172612769125768,0.09030837004405286,0.17270583855556246,0.06437302227461686,0.21266364708072222,
2024-12-01,20356,0.04052859107879741,0.07565337001375516,0.11284142267636078,0.061357830615052074,0.1357830615052073,
2024-03-01,38511,0.037054348108332684,0.10132170029342266,0.17021110851445043,0.05442600815351458,0.20986211731713017,
2019-12-01,45510,0.045616348055372444,0.07824653922214898,0.15552625796528236,0.07156668863985938,0.1901340364754999,
2012-04-01,5705,0.011393514460999123,0.044697633654688866,0.04574934268185802,0.014022787028921999,0.07134092900964066,
2021-07-01,47488,0.03651448787061995,0.08720097708894879,0.12150438005390836,0.05456115229110512,0.152606974393531,
2025-05-01,30660,0.026418786692759294,0.09726027397260274,0.2215590345727332,0.041519895629484674,0.24905414220482713,'Big Beautiful Bill' in the House
2019-06-01,38129,0.04017939101471321,0.10249416454667051,0.09751108080463688,0.05977077814786645,0.12701618190878333,
2019-09-01,34173,0.03514470488397273,0.10282971936909256,0.12138237790068182,0.055950604278231356,0.15196207532262312,
2025-11-01,33266,0.02588228221006433,0.09502194432754163,0.25347201346720377,0.043377622798052066,0.2903264594480851,Shutdown ends after 43 days
2013-04-01,13399,0.01567281140383611,0.05649675348906635,0.03701768788715576,0.019628330472423315,0.057690872453168146,Boston Marathon bombing
2022-09-01,18923,0.0405855308354912,0.0880410082967817,0.17724462294562174,0.05696771125085874,0.20985044654653068,
2022-11-01,21493,0.037547108360861677,0.11729400269855302,0.11236216442562695,0.04717815102591542,0.14534964872284,
2015-10-01,12227,0.02510836672936943,0.06395681688067392,0.028134456530628935,0.03377770507892369,0.044409912488754394,
2016-03-01,23534,0.014744624798164357,0.08749043936432396,0.02460270247301776,0.01903628792385485,0.040282144981728565,
2019-04-01,29416,0.035966820777807995,0.11007614903453902,0.08920315474571662,0.05102665216208866,0.11180989937449007,
2018-02-01,19378,0.038290845288471466,0.08215502115801425,0.10212612240685313,0.05784910723500877,0.13128289813190216,
2018-05-01,25047,0.03665109593963349,0.10883538946780054,0.0881542699724518,0.053539346029464606,0.10967381323112549,
2012-03-01,6584,0.020048602673147023,0.04860267314702309,0.06424665856622114,0.02551640340218712,0.11284933171324422,
2021-12-01,49591,0.05160210522070537,0.083543384888387,0.11080639632191325,0.06739126051097981,0.14034804702466172,Debt-ceiling deal; NDAA passes
2026-04-01,46743,0.02297670239394134,0.08555291701431231,0.17632586697473418,0.04036968102175727,0.19410393000021395,
2013-07-01,14504,0.0222007722007722,0.05446773303916161,0.09528405956977386,0.029922779922779922,0.13575565361279646,
2014-08-01,13512,0.010287152161042036,0.0652753108348135,0.02612492599171107,0.012729425695677915,0.04507104795737123,
2014-09-01,16609,0.015232705159853092,0.06665061111445601,0.027093744355469927,0.021133120597266544,0.0484676982358962,
2015-06-01,17687,0.018431616441454177,0.06315372872731384,0.02860858257477243,0.024650873522926442,0.05071521456436931,
2011-05-01,6528,0.007199754901960784,0.04212622549019608,0.04090073529411765,0.009650735294117647,0.0661764705882353,
2024-06-01,33668,0.04081026494000237,0.09893667577521682,0.18118094332897708,0.05880955209694665,0.21697160508494714,
2016-10-01,10522,0.011974909712982323,0.09570423873788253,0.037160235696635624,0.01549135145409618,0.05008553506937845,
2017-05-01,23157,0.01753249557369262,0.07155503735371593,0.16336312993911128,0.02686012868679017,0.19579392840177917,
2011-07-01,6816,0.01056338028169014,0.032130281690140844,0.07907863849765258,0.015551643192488264,0.12690727699530516,
2013-09-01,16115,0.012969283276450512,0.05020167545764816,0.11753025131864722,0.02041576171269004,0.16791808873720138,
2018-06-01,22505,0.03474783381470784,0.06985114419017996,0.14232392801599644,0.055098866918462566,0.16796267496111975,
2011-09-01,5570,0.014183123877917415,0.04380610412926391,0.028186714542190305,0.018312387791741474,0.06014362657091562,
2011-12-01,5170,0.013733075435203095,0.037717601547388784,0.055899419729206964,0.026885880077369438,0.08355899419729207,
2020-05-01,43928,0.031232926607175377,0.08930522673465671,0.08438808960116555,0.045119286104534695,0.10546803860863231,
2020-10-01,47470,0.02738571729513377,0.0752053928797135,0.14596587318306298,0.03977248788708658,0.1792921845376027,
2014-03-01,18636,0.017332045503326895,0.06734277742004723,0.04974243399871217,0.02194676969306718,0.07560635329469843,
2015-07-01,25269,0.01642328544857335,0.06205231706834461,0.021330483992243462,0.021132613083224505,0.040444813803474616,
2023-02-01,16497,0.03085409468388192,0.07613505485845912,0.18724616596957022,0.052312541674243804,0.2304055282778687,
2016-08-01,13356,0.00890985324947589,0.07382449835280024,0.023285414794848757,0.01295297993411201,0.03631326744534292,
2017-11-01,20776,0.022911051212938006,0.06993646515209857,0.09684251058914131,0.03258567577974586,0.12490373507893723,
