name,party,state,n,share_angry,mean_anger
Mariannette Miller-Meeks,Republican,IA,6927,0.18723834271690487,0.20134092739201603
Bill Shuster R-PA,Republican,PA,2328,0.18685567010309279,0.2097885495404188
Ami Bera,Democrat,CA,7660,0.18655352480417756,0.20704277869509705
Marie Gluesenkamp Perez,Democrat,WA,2320,0.18620689655172415,0.20738951050443574
John McCain R-AZ,Republican,AZ,11719,0.18559604061780016,0.21478564861070895
Hillary J. Scholten,Democrat,MI,3968,0.1852318548387097,0.19678782480989485
"Carper, Thomas ",Democrat,DE,12583,0.1850909957879679,0.2033246589756205
Mike Flood,Republican,NE,2575,0.18485436893203883,0.19871019306981447
Stephen F. Lynch,Democrat,MA,5457,0.18471687740516768,0.21204405224788028
Monica De La Cruz,Republican,TX,2015,0.18411910669975187,0.19604936158746739
Jack Reed,Democrat,RI,8865,0.18364354201917654,0.19641780074461518
Jared Polis D-CO,Democrat,CO,2375,0.18357894736842106,0.20850655250663036
Dan Newhouse,Republican,WA,4230,0.183451536643026,0.20303313740018325
Michael R. Turner,Republican,OH,6588,0.18321190042501517,0.20783716407064495
Tim Walz D-MN,Democrat,MN,2304,0.1831597222222222,0.19750843714468325
Cory A. Booker,Democrat,NJ,39654,0.18310889191506532,0.20326388686985652
Brett Guthrie,Republican,KY,4322,0.1827857473391948,0.19786007671347833
Charlie Crist D-FL,Democrat,FL,2746,0.18244719592134012,0.20099933438009168
"Pence, Greg",Republican,IN,2146,0.18080149114631874,0.18426810536261923
John Thune,Republican,SD,8536,0.18064667291471415,0.19485263864889665
Rick W. Allen,Republican,GA,3379,0.18023083752589525,0.19339557287285172
"Gonzales, Tony",Republican,TX,2504,0.17971246006389777,0.19901101136380753
Jack Bergman,Republican,MI,2079,0.17893217893217894,0.20339143084070524
Gus M. Bilirakis,Republican,FL,9214,0.178858259170827,0.19612070676223853
Zachary Nunn,Republican,IA,2230,0.17847533632286997,0.19130599906202406
Deb Haaland D-NM,Democrat,NM,4552,0.17838312829525482,0.20104150195273174
Marilyn Strickland,Democrat,WA,3852,0.17808930425752856,0.19129939945180138
