year,season,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2017,Spring,67954,0.309763413569242,0.30148335638814494,0.23200544308552046,0.30471254279343624,0.4230530688469258,0.4667641134012553,0.1407558449598621,0.1461547845294376,0.0014156412281598738,0.020945203455124295
2017,Summer,73385,0.27944394008749474,0.266457722967909,0.21505673489308547,0.273635678062241,0.4352636359143986,0.4904419916516773,0.14340326132462783,0.1456107755599764,0.0013192721292326244,-0.009374270026622944
2017,Winter,59750,0.31022281342235525,0.3,0.21899973110796953,0.29839701737581154,0.4303465281234602,0.4899281470264351,0.13730442838018925,0.12958845693835497,0.00150247466545939,0.02140460330823757
2018,Fall,64732,0.27045371773678156,0.25849657047519004,0.217238809787654,0.2595297856184602,0.46734339026864297,0.5579151355667804,0.17103576479255703,0.1437049568636582,0.0014072399592838817,-0.016853128900160164
2018,Spring,71722,0.2589968119303863,0.24614483700956472,0.19801943681431203,0.25118609157205385,0.4862635505644732,0.5587665151680885,0.15542844486593163,0.13809863948201417,0.0012988775549294502,-0.02831003470655541
2018,Summer,68526,0.31800721000181476,0.31183784257070307,0.24144288552052393,0.3068750211799405,0.4301819230105321,0.5156117188478003,0.17196477574085,0.1570425549374052,0.0014375537764177348,0.03070036336487303
2018,Winter,61946,0.3037343149036167,0.2943047170115907,0.23435690463019002,0.2937191603291389,0.4432607748440781,0.5249993889182561,0.15797243646017575,0.15929515661280982,0.001486303256557092,0.01642746826667496
2019,Fall,122975,0.3144780277578729,0.30756657857288067,0.24021278134560475,0.3000188248011095,0.42226390178216133,0.5238636271582137,0.17672561259284988,0.1496053760622017,0.0010654130640323437,0.004957325297073434
2019,Spring,103685,0.2808413345155342,0.27073347157255145,0.21057558417443287,0.2658223904112881,0.4767825719906402,0.5696859923797445,0.16154835720392677,0.13840041690707108,0.0011152936890174937,-0.028679367945265266
2019,Summer,101924,0.29800219612600526,0.29007888230446216,0.23551683368363502,0.2838476415040942,0.4555061987986861,0.5549503850141954,0.18457473586917228,0.14758818952921643,0.0011530190390299214,-0.011518506334794232
2019,Winter,117424,0.3396508753953342,0.3344972067039106,0.25007564311231617,0.32285458846059517,0.41410521515098264,0.5175245446196726,0.16576334023229575,0.15844082479898913,0.00110428295122494,0.030130172934534682
2020,Fall,130282,0.2859757920195717,0.27405167252575185,0.2452400746424964,0.2797970539375916,0.4075341331271628,0.5310463308862688,0.19266434202022423,0.1635196648582798,0.0010047715468536292,-0.0020408045576961187
2020,Spring,148813,0.22704378048289559,0.20122569936766277,0.20549715836459614,0.23346824115848291,0.37094083989564447,0.5386420677611419,0.21835948706065483,0.16020516731243456,0.000838634988061397,-0.06097281609437222
2020,Summer,132280,0.3306848278020201,0.32317810704566075,0.27192965876758224,0.32210626589944136,0.3539317612815286,0.5007183644532425,0.21259382832053134,0.17460091093057045,0.0010300994054843263,0.04266823122475227
2020,Winter,119915,0.31883237570771306,0.31118709085602303,0.2508276182580937,0.30328973332201054,0.4156916005446706,0.5325842799660702,0.17726817069620934,0.1516759422611176,0.0010753390914741252,0.030815779130445253
2021,Fall,158280,0.29917270625463205,0.2916161233257518,0.2518233573595796,0.2931645235807342,0.43349888086625554,0.5442839372259809,0.17389868594148725,0.16107487163907974,0.0009262654082866164,-0.0020117954178071606
2021,Spring,138348,0.2975090595042458,0.28980541822071876,0.23827362768918642,0.2869105211865199,0.4189415206624313,0.5450368170721863,0.1861286612629656,0.15407595696244886,0.0009712003739919202,-0.0036754421681934324
2021,Summer,143007,0.30062261230226817,0.29216052361073236,0.25337267847288364,0.294735190952394,0.4120308699806381,0.5290552239019367,0.19685081256590306,0.16076065582186982,0.0009599253177927659,-0.0005618893701710426
2021,Winter,142706,0.3075421261940135,0.2982635628494948,0.25240307007264856,0.2947041859341952,0.4114323331863835,0.5337794448566265,0.1873581292031417,0.16138871952517087,0.0009755912559164157,0.00635762452157429
2022,Fall,62544,0.30265060879057915,0.2990214888718342,0.2492740523839057,0.2908035705643673,0.45841557530845783,0.564372066048503,0.17448469369758038,0.15446169998827164,0.0014838615791445144,-0.0262174877924517
2022,Spring,137012,0.32560920924987347,0.32252649402972,0.2586430120050225,0.311689186639595,0.4209390839692,0.5360642501343063,0.18912861636616432,0.15767069772057696,0.0010066513018418919,-0.0032588873331573787
2022,Summer,110566,0.3460512967982297,0.34221189153989473,0.286795023603642,0.3353290648506291,0.3843323674440721,0.5081954382134972,0.20733606584368602,0.16976203109170934,0.0011289142073326137,0.01718320021519887
2022,Winter,106361,0.33062038842673275,0.3269149406267335,0.263369394806491,0.31579140433313974,0.4060962805394723,0.5256154062821401,0.19692789912977202,0.15357832981941827,0.0011487999856265936,0.001752291843701903
2023,Fall,91689,0.3427428569622282,0.3436181003173772,0.28008654088746243,0.32742357905195363,0.4070699524684949,0.5175694304409088,0.2063964853251783,0.16043700947320205,0.0012578348169340996,-0.00520856063901276
2023,Spring,60462,0.3739191924636567,0.3766167179385399,0.3014193985559266,0.35842411972639393,0.39130100046239225,0.5061294144549948,0.19558330419795697,0.15750738074516124,0.0015830319353699882,0.025967774862415693
2023,Summer,67652,0.3174324424630708,0.312141547921717,0.24944437706309533,0.30243545945894496,0.4420615521689929,0.5473738788984023,0.1738469860643098,0.13940222914504008,0.001439618233519306,-0.0305189751381702
2023,Winter,61746,0.3636961430692316,0.36719787516600266,0.29270603147535046,0.3490103122430827,0.40293316802480716,0.50001609938461,0.19155175209252004,0.15644172029037914,0.0015584099122291865,0.015744725467990606
2024,Fall,88014,0.29945238240700284,0.29707773763264933,0.24275242123209573,0.28522402997673973,0.47427681432572605,0.5601896431664317,0.1785515686340856,0.14057909935619867,0.0012611524357278299,-0.03372101396254479
2024,Spring,105799,0.33631461376536065,0.33961568634864225,0.2646323658173873,0.31996349654327594,0.4463042591849417,0.5379824598607564,0.18430717343271563,0.1430213086990697,0.0011826907566647152,0.003141217395813023
2024,Summer,92521,0.3416757163799834,0.3442677878535684,0.2714167273821622,0.3260316827486894,0.4408836889092249,0.526317622087733,0.18588357284252893,0.14733217140261415,0.0012668436670282602,0.008502320010435771
2024,Winter,88421,0.35408404558132167,0.35562818787392136,0.28498205139938815,0.3400161303157494,0.41183852598640996,0.5092961904491118,0.1930806447502303,0.15605424674037358,0.0012991221972125354,0.020910649211774046
2025,Fall,109378,0.4694101298876621,0.481970780230028,0.36667195433899497,0.45318969962024636,0.3186078380756307,0.4081972471303339,0.1898703159253062,0.20449081152718934,0.0012352770607930402,0.03287002052569776
2025,Spring,94403,0.434971415887573,0.44544135249939093,0.31988147765569597,0.4136476110881888,0.37712185622241695,0.458072649310866,0.17752307599570719,0.17323513928113873,0.0013298921189802604,-0.0015686934743913694
2025,Summer,94342,0.42824137944206947,0.4375357740984927,0.32318086705646437,0.4063821147248147,0.37752120865243305,0.46128634622093717,0.19495341350133166,0.16684125499725494,0.0013203063228994084,-0.008298729919894887
2025,Winter,93299,0.4079840802845457,0.41203013965851726,0.30283021029239066,0.3869917342199533,0.3833981341000011,0.4689904370439761,0.1843832053853418,0.16028020111824978,0.0013102306288702078,-0.028556029077418665
2026,Spring,139948,0.39500438705887997,0.3980907194100666,0.30233997986341654,0.3794533313431358,0.3819796298122876,0.45173000441214495,0.1733811350254063,0.155864420431824,0.001073814832711917,0.001392314783240367
2026,Summer,117710,0.37307956977494394,0.37255968057089456,0.28618627342404496,0.3582817832892923,0.3938118431003514,0.45887983067943605,0.15820175031596917,0.14923908291131394,0.0011509630566338008,-0.02053250250069566
2026,Winter,85182,0.41969773826225615,0.4256650466060905,0.313464344153215,0.4002552306349918,0.36598578264886794,0.44494428618809695,0.19881361797731756,0.15504073597714943,0.0013840709219887562,0.026085665986616546
