name,party,era,band,n,share_angry
"Spanberger, Abigail",Democrat,Biden,18-20 evening,496,0.15725806451612903
Chris Collins R-NY,Republican,Obama,09-17 work,2239,0.15721304153640017
Suzanne Bonamici,Democrat,Biden,09-17 work,3802,0.15702261967385586
Cindy Hyde-Smith,Republican,Trump,05-08 morning,274,0.15693430656934307
"Kildee, Dan",Democrat,Biden,09-17 work,1969,0.1569324530218385
Kweisi Mfume,Democrat,Biden,09-17 work,478,0.15690376569037656
Margaret Wood Hassan,Democrat,Biden,09-17 work,3857,0.15685766139486648
Ed Royce R-CA,Republican,Obama,09-17 work,1582,0.15676359039190899
Juan Ciscomani,Republican,Biden,05-08 morning,370,0.15675675675675677
Ron Estes,Republican,Trump,09-17 work,1321,0.1566994700984103
Lauren Underwood,Democrat,Biden,18-20 evening,351,0.15669515669515668
Ami Bera,Democrat,Biden,05-08 morning,613,0.1566068515497553
Teresa Leger Fernandez,Democrat,Biden,05-08 morning,364,0.1565934065934066
Zachary Nunn,Republican,Biden,09-17 work,1041,0.15658021133525457
Ben Ray Luján,Democrat,Biden,09-17 work,2676,0.15657698056801195
Joe Barton R-TX,Republican,Obama,09-17 work,1195,0.15648535564853555
Don Bacon,Republican,Trump,05-08 morning,1029,0.1564625850340136
Gwen Moore,Democrat,Obama,05-08 morning,211,0.15639810426540285
Michael R. Turner,Republican,Trump II,09-17 work,307,0.1563517915309446
Randy Hultgren R-IL,Republican,Obama,09-17 work,2131,0.15626466447677148
John Boozman,Republican,Biden,09-17 work,1660,0.15602409638554218
Luke Messer R-IN,Republican,Trump,09-17 work,545,0.1559633027522936
Andrew R. Garbarino,Republican,Trump II,09-17 work,263,0.155893536121673
Pat Meehan R-PA,Republican,Obama,18-20 evening,244,0.1557377049180328
Don Bacon,Republican,Trump,21-23 late,469,0.15565031982942432
Bradley Byrne R-AL,Republican,Obama,18-20 evening,270,0.15555555555555556
Bill Huizenga,Republican,Trump,09-17 work,1421,0.15552427867698804
Paul Tonko,Democrat,Obama,18-20 evening,386,0.15544041450777202
George Whitesides,Democrat,Trump II,05-08 morning,399,0.15538847117794485
Rob Goodlatte R-VA,Republican,Obama,09-17 work,2658,0.15500376222723852
David G. Valadao,Republican,Biden,09-17 work,1342,0.15499254843517138
Lucille Roybal-Allard D-CA,Democrat,Obama,05-08 morning,271,0.15498154981549817
Tom Cole,Republican,Biden,05-08 morning,226,0.15486725663716813
Sean Duffy R-WI,Republican,Obama,09-17 work,2191,0.15472387037882246
Joni Ernst,Republican,Trump,05-08 morning,944,0.15466101694915255
David Perdue R-GA,Republican,Trump,18-20 evening,304,0.15460526315789475
Nikema Williams,Democrat,Biden,18-20 evening,815,0.15460122699386503
Harold Rogers,Republican,Biden,09-17 work,233,0.15450643776824036
Richard Blumenthal,Democrat,Obama,18-20 evening,868,0.1543778801843318
Amy Klobuchar,Democrat,Biden,18-20 evening,298,0.15436241610738255
Deb Haaland D-NM,Democrat,Trump,18-20 evening,609,0.15435139573070608
Chrissy Houlahan,Democrat,Trump,18-20 evening,311,0.15434083601286175
Jeanne Shaheen,Democrat,Obama,18-20 evening,214,0.1542056074766355
"Charles J. ""Chuck"" Fleischmann",Republican,Trump,09-17 work,1590,0.1540880503144654
Jacky Rosen,Democrat,Biden,00-04 night,344,0.15406976744186046
Walter Jones R-NC,Republican,Trump,09-17 work,864,0.15393518518518517
Cindy Hyde-Smith,Republican,Trump II,05-08 morning,611,0.15384615384615385
"Trone, David",Democrat,Biden,09-17 work,2290,0.1537117903930131
Dwight Evans,Democrat,Biden,18-20 evening,1132,0.15371024734982333
Michael T. McCaul,Republican,Trump,18-20 evening,280,0.15357142857142858
Glenn Thompson,Republican,Biden,09-17 work,697,0.15351506456241032
Jeanne Shaheen,Democrat,Biden,05-08 morning,522,0.1532567049808429
Darin LaHood,Republican,Trump II,05-08 morning,248,0.1532258064516129
Greg Stanton,Democrat,Trump,09-17 work,1103,0.15321849501359927
Brenda Lawrence D-MI,Democrat,Obama,05-08 morning,235,0.15319148936170213
Barbara Mikulski D-MD,Democrat,Obama,18-20 evening,307,0.15309446254071662
John Thune,Republican,Obama,18-20 evening,392,0.15306122448979592
Tim Murphy R-PA,Republican,Obama,18-20 evening,386,0.15284974093264247
Roger Williams,Republican,Trump II,00-04 night,229,0.15283842794759825
"Casey, Robert Jr.",Democrat,Obama,09-17 work,3226,0.15282083075015498
Adriano Espaillat,Democrat,Biden,18-20 evening,694,0.15273775216138327
Mark DeSaulnier,Democrat,Biden,09-17 work,1133,0.1526919682259488
Lucille Roybal-Allard D-CA,Democrat,Trump,18-20 evening,649,0.15254237288135594
"Spanberger, Abigail",Democrat,Biden,05-08 morning,315,0.1523809523809524
"Sarbanes, John ",Democrat,Biden,09-17 work,1556,0.15231362467866325
Maria Elvira Salazar,Republican,Biden,05-08 morning,1065,0.15211267605633802
Mike Crapo,Republican,Trump II,09-17 work,421,0.15201900237529692
Ben Ray Luján,Democrat,Biden,05-08 morning,579,0.15198618307426598
Marie Gluesenkamp Perez,Democrat,Biden,09-17 work,1112,0.15197841726618705
Russ Fulcher,Republican,Trump II,05-08 morning,362,0.15193370165745856
Orrin Hatch R-UT,Republican,Trump,18-20 evening,527,0.15180265654648956
Bill Huizenga,Republican,Trump,05-08 morning,224,0.15178571428571427
Kathleen Rice D-NY,Democrat,Obama,09-17 work,1233,0.1516626115166261
Ami Bera,Democrat,Biden,09-17 work,1524,0.1515748031496063
Andy Harris,Republican,Trump,09-17 work,768,0.15104166666666666
Andy Kim,Democrat,Trump,05-08 morning,318,0.1509433962264151
William R. Timmons IV,Republican,Trump,09-17 work,769,0.1508452535760728
Angie Craig,Democrat,Biden,09-17 work,3144,0.15076335877862596
Jacky Rosen,Democrat,Trump,05-08 morning,969,0.15067079463364294
"Romney, Mitt",Republican,Trump,05-08 morning,206,0.15048543689320387
Karen Bass D-CA,Democrat,Obama,05-08 morning,864,0.15046296296296297
Adam Smith,Democrat,Biden,05-08 morning,1104,0.1503623188405797
Andy Barr,Republican,Trump,09-17 work,1566,0.1500638569604087
Cory Gardner R-CO,Republican,Trump,09-17 work,1946,0.1500513874614594
Adam Smith,Democrat,Biden,09-17 work,2830,0.14982332155477032
John Boozman,Republican,Biden,00-04 night,207,0.1497584541062802
"Trone, David",Democrat,Biden,18-20 evening,207,0.1497584541062802
Cheri Bustos D-IL,Democrat,Biden,09-17 work,1229,0.1497152156224573
Marilyn Strickland,Democrat,Biden,05-08 morning,421,0.1496437054631829
Kevin Cramer,Republican,Trump II,09-17 work,702,0.14957264957264957
Tom Malinowski D-NJ,Democrat,Trump,09-17 work,904,0.14933628318584072
Mike Rounds,Republican,Biden,09-17 work,1019,0.1491658488714426
Vicky Hartzler R-MO,Republican,Obama,05-08 morning,739,0.14884979702300405
John Hoeven,Republican,Biden,09-17 work,1576,0.1484771573604061
Salud O. Carbajal,Democrat,Biden,05-08 morning,687,0.14847161572052403
Barbara Mikulski D-MD,Democrat,Obama,09-17 work,2811,0.14834578441835647
Joe Courtney,Democrat,Obama,18-20 evening,209,0.14832535885167464
"Tester, Jon",Democrat,Trump,09-17 work,1795,0.14818941504178273
Cheri Bustos D-IL,Democrat,Trump,18-20 evening,405,0.14814814814814814
Brian Babin,Republican,Obama,05-08 morning,243,0.14814814814814814
Pete Olson R-TX,Republican,Trump,05-08 morning,621,0.14814814814814814
Vicky Hartzler R-MO,Republican,Trump,09-17 work,1978,0.14812942366026288
Scott H. Peters,Democrat,Trump,18-20 evening,304,0.14802631578947367
Roger Williams,Republican,Trump II,09-17 work,426,0.14788732394366197
Mark Walker R-NC,Republican,Obama,09-17 work,974,0.14784394250513347
Thom Tillis,Republican,Trump,09-17 work,2618,0.14782276546982429
John Joyce,Republican,Trump II,09-17 work,203,0.1477832512315271
Marc A. Veasey,Democrat,Biden,05-08 morning,440,0.14772727272727273
Robert E. Latta,Republican,Trump,09-17 work,285,0.14736842105263157
Frank LoBiondo R-NJ,Republican,Trump,09-17 work,1045,0.14736842105263157
George Holding R-NC,Republican,Trump,09-17 work,319,0.14733542319749215
"Brown, Sherrod",Democrat,Obama,09-17 work,2077,0.14732787674530573
Orrin Hatch R-UT,Republican,Trump,21-23 late,252,0.14682539682539683
Dan Lipinski D-IL,Democrat,Trump,18-20 evening,375,0.14666666666666667
Tom Rice R-SC,Republican,Obama,09-17 work,546,0.14652014652014653
Mariannette Miller-Meeks,Republican,Biden,18-20 evening,246,0.14634146341463414
Mia Love R-UT,Republican,Obama,09-17 work,335,0.14626865671641792
Marcy Kaptur,Democrat,Biden,18-20 evening,212,0.14622641509433962
Adrian Smith,Republican,Obama,09-17 work,1614,0.14622057001239158
"Charles J. ""Chuck"" Fleischmann",Republican,Obama,09-17 work,1178,0.1460101867572156
"Buck, Ken",Republican,Trump,09-17 work,411,0.145985401459854
"Kildee, Dan",Democrat,Biden,18-20 evening,370,0.14594594594594595
Mike Levin,Democrat,Biden,18-20 evening,233,0.1459227467811159
Rob Portman R-OH,Republican,Trump,09-17 work,8727,0.14586914174401283
Tom Barrett,Republican,Trump II,09-17 work,529,0.14555765595463138
Eleanor Holmes Norton,Democrat,Biden,05-08 morning,303,0.14521452145214522
David Schweikert,Republican,Obama,09-17 work,2117,0.1450165328294757
Tom Garrett R-VA,Republican,Trump,09-17 work,1036,0.14478764478764478
David McKinley R-WV,Republican,Trump,18-20 evening,228,0.14473684210526316
Hillary J. Scholten,Democrat,Biden,05-08 morning,228,0.14473684210526316
Michael Lawler,Republican,Trump II,05-08 morning,608,0.14473684210526316
Mike Levin,Democrat,Biden,09-17 work,2682,0.14466815809097688
Dwight Evans,Democrat,Biden,09-17 work,7572,0.14461172741679873
"Cartwright, Matt",Democrat,Trump,09-17 work,996,0.14457831325301204
Billy Long R-MO,Republican,Obama,09-17 work,3459,0.14426134721017636
"Swalwell, Eric",Democrat,Obama,21-23 late,520,0.14423076923076922
Derek Schmidt,Republican,Trump II,09-17 work,312,0.14423076923076922
Cindy Axne D-IA,Democrat,Trump,09-17 work,1561,0.1441383728379244
Julia Brownley,Democrat,Biden,05-08 morning,347,0.1440922190201729
"Johnson, Bill",Republican,Trump,09-17 work,1978,0.14408493427704752
Greg Walden R-OR,Republican,Trump,05-08 morning,361,0.1440443213296399
Steven Horsford,Democrat,Obama,09-17 work,1111,0.14401440144014402
Deb Fischer,Republican,Trump II,09-17 work,375,0.144
Lisa Murkowski,Republican,Biden,00-04 night,257,0.14396887159533073
"Cherfilus-McCormick, Sheila",Democrat,Biden,09-17 work,646,0.14396284829721362
Pete Olson R-TX,Republican,Trump,09-17 work,4384,0.14393248175182483
Lori Trahan,Democrat,Trump,18-20 evening,563,0.1438721136767318
Cory Gardner R-CO,Republican,Trump,05-08 morning,292,0.14383561643835616
Steve Daines,Republican,Trump,05-08 morning,306,0.1437908496732026
Mike Thompson,Democrat,Biden,05-08 morning,1106,0.1437613019891501
John Kline R-MN,Republican,Obama,09-17 work,1656,0.14371980676328502
"Spanberger, Abigail",Democrat,Trump,09-17 work,2444,0.14361702127659576
Shelley Moore Capito,Republican,Trump II,09-17 work,1087,0.14351425942962281
Troy Downing,Republican,Trump II,00-04 night,237,0.14345991561181434
Susie Lee,Democrat,Biden,09-17 work,3245,0.14329738058551617
Paul Cook R-CA,Republican,Obama,09-17 work,929,0.14316469321851452
Michael T. McCaul,Republican,Obama,09-17 work,964,0.14315352697095435
Kathy Castor,Democrat,Biden,09-17 work,3641,0.14309255698983794
Jackie Walorski R-IN,Republican,Obama,09-17 work,2321,0.14304179233089187
Adam Smith,Democrat,Obama,09-17 work,853,0.14302461899179367
Tracey Mann,Republican,Trump II,05-08 morning,273,0.14285714285714285
Martha Roby R-AL,Republican,Obama,05-08 morning,294,0.14285714285714285
Rob Portman R-OH,Republican,Trump,21-23 late,308,0.14285714285714285
"Kildee, Dan",Democrat,Obama,05-08 morning,203,0.14285714285714285
Don Bacon,Republican,Trump,09-17 work,5329,0.14280352786639144
Kevin Cramer,Republican,Trump II,05-08 morning,393,0.14249363867684478
Mike Lee,Republican,Obama,18-20 evening,323,0.14241486068111456
Jackie Walorski R-IN,Republican,Trump,09-17 work,1371,0.1422319474835886
Roger F. Wicker,Republican,Trump,18-20 evening,211,0.14218009478672985
Gus M. Bilirakis,Republican,Trump II,09-17 work,366,0.14207650273224043
Pat Toomey R-PA,Republican,Obama,09-17 work,2894,0.14201796821008983
John W. Rose,Republican,Trump,09-17 work,507,0.14201183431952663
Brian Schatz,Democrat,Obama,05-08 morning,289,0.14186851211072665
Shelley Moore Capito,Republican,Trump II,05-08 morning,571,0.14185639229422067
David McCormick,Republican,Trump II,05-08 morning,212,0.14150943396226415
Haley M. Stevens,Democrat,Biden,18-20 evening,410,0.14146341463414633
Angie Craig,Democrat,Trump,05-08 morning,283,0.1413427561837456
Gwen Moore,Democrat,Obama,18-20 evening,326,0.1411042944785276
"Tester, Jon",Democrat,Obama,09-17 work,1284,0.1409657320872274
Vicky Hartzler R-MO,Republican,Trump,18-20 evening,206,0.1407766990291262
Brad Finstad,Republican,Biden,09-17 work,668,0.1407185628742515
Tom Rice R-SC,Republican,Trump,09-17 work,1159,0.14063848144952545
Jacky Rosen,Democrat,Biden,05-08 morning,1651,0.14052089642640825
Neal P. Dunn,Republican,Trump II,09-17 work,235,0.14042553191489363
Tim Murphy R-PA,Republican,Obama,09-17 work,1760,0.1403409090909091
"Ruppersberger, C. A. Dutch",Democrat,Biden,09-17 work,663,0.14027149321266968
Tim Ryan D-OH,Democrat,Obama,18-20 evening,271,0.14022140221402213
Dan Lipinski D-IL,Democrat,Trump,09-17 work,1890,0.1402116402116402
"Swalwell, Eric",Democrat,Obama,09-17 work,4256,0.1400375939849624
Suzan K. DelBene,Democrat,Biden,09-17 work,2403,0.13982521847690388
John Ratcliffe R-TX,Republican,Obama,09-17 work,1039,0.1395572666025024
Glenn Grothman,Republican,Obama,09-17 work,373,0.13941018766756033
Sean Duffy R-WI,Republican,Obama,18-20 evening,237,0.13924050632911392
"Cardenas, Tony",Democrat,Obama,18-20 evening,237,0.13924050632911392
Marcia Fudge D-OH,Democrat,Obama,09-17 work,3226,0.13918164910105393
Steny H. Hoyer,Democrat,Biden,18-20 evening,769,0.13914174252275682
Tim Ryan D-OH,Democrat,Obama,09-17 work,2617,0.13909056171188383
Pete Olson R-TX,Republican,Obama,09-17 work,1621,0.13880320789636028
Susan M. Collins,Republican,Trump II,09-17 work,274,0.1386861313868613
Leonard Lance R-NJ,Republican,Trump,09-17 work,375,0.13866666666666666
Carlos Curbelo R-FL,Republican,Obama,18-20 evening,253,0.1383399209486166
Steve Chabot R-OH,Republican,Biden,09-17 work,506,0.1383399209486166
Robert J. Wittman,Republican,Trump,09-17 work,398,0.13819095477386933
Todd Young,Republican,Obama,09-17 work,1129,0.13817537643932684
"Luetkemeyer, Blaine",Republican,Obama,09-17 work,898,0.13808463251670378
Michelle Grisham D-NM,Democrat,Obama,09-17 work,1848,0.137987012987013
Jimmy Panetta,Democrat,Trump,09-17 work,2095,0.1379474940334129
Richard Blumenthal,Democrat,Obama,21-23 late,283,0.13780918727915195
Joni Ernst,Republican,Trump,09-17 work,2564,0.1376755070202808
Terri A. Sewell,Democrat,Obama,09-17 work,2150,0.13767441860465116
Orrin Hatch R-UT,Republican,Trump,09-17 work,2100,0.1376190476190476
Chrissy Houlahan,Democrat,Biden,18-20 evening,240,0.1375
Tammy Baldwin,Democrat,Biden,18-20 evening,313,0.13738019169329074
Mike Rogers,Republican,Trump,09-17 work,2571,0.13730066122131465
David Schweikert,Republican,Obama,05-08 morning,692,0.13728323699421965
"Gonzales, Tony",Republican,Biden,05-08 morning,408,0.13725490196078433
Denver Riggleman R-VA,Republican,Trump,09-17 work,1796,0.13697104677060135
Chris Pappas,Democrat,Trump,18-20 evening,241,0.13692946058091288
"Cardenas, Tony",Democrat,Obama,05-08 morning,1410,0.13687943262411348
Jacky Rosen,Democrat,Trump,18-20 evening,475,0.1368421052631579
Julia Brownley,Democrat,Biden,09-17 work,2283,0.1366622864651774
Tim Walberg,Republican,Obama,09-17 work,2366,0.13651732882502113
Jon Ossoff,Democrat,Biden,09-17 work,2624,0.1364329268292683
Josh Gottheimer,Democrat,Trump,05-08 morning,352,0.13636363636363635
Lloyd Smucker,Republican,Trump II,09-17 work,506,0.13636363636363635
Vicky Hartzler R-MO,Republican,Trump,05-08 morning,411,0.1362530413625304
James R. Baird,Republican,Trump II,09-17 work,367,0.1362397820163488
"Allred, Colin",Democrat,Biden,05-08 morning,235,0.13617021276595745
Robin L. Kelly,Democrat,Biden,05-08 morning,426,0.13615023474178403
Heidi Heitkamp D-ND,Democrat,Trump,09-17 work,1966,0.1358087487283825
Jake Ellzey,Republican,Biden,09-17 work,457,0.13566739606126915
Ed Royce R-CA,Republican,Trump,09-17 work,295,0.13559322033898305
John B. Larson,Democrat,Obama,09-17 work,1276,0.13557993730407525
Bradley Byrne R-AL,Republican,Obama,05-08 morning,738,0.13550135501355012
Sheldon Whitehouse,Democrat,Obama,09-17 work,2997,0.1354688021354688
David Perdue R-GA,Republican,Trump,09-17 work,1255,0.13545816733067728
John Garamendi,Democrat,Obama,18-20 evening,614,0.13517915309446255
Roger Williams,Republican,Trump,09-17 work,2529,0.13444049031237643
Ben McAdams D-UT,Democrat,Trump,09-17 work,878,0.13439635535307518
Shelley Berkley D-NV,Democrat,Obama,09-17 work,253,0.13438735177865613
Robert Pittenger R-NC,Republican,Obama,05-08 morning,216,0.13425925925925927
Pete Aguilar,Democrat,Obama,09-17 work,447,0.1342281879194631
Robin L. Kelly,Democrat,Biden,09-17 work,2438,0.13412633305988514
Brian Schatz,Democrat,Obama,09-17 work,634,0.13406940063091483
Carlos Curbelo R-FL,Republican,Trump,18-20 evening,239,0.13389121338912133
Kurt Schrader D-OR,Democrat,Trump,09-17 work,913,0.13362541073384446
Susan Davis D-CA,Democrat,Obama,09-17 work,1033,0.1335914811229429
"Stabenow, Debbie",Democrat,Biden,09-17 work,2473,0.13344116457743632
Pete Sessions,Republican,Trump II,09-17 work,300,0.13333333333333333
Sylvia R. Garcia,Democrat,Biden,05-08 morning,818,0.1332518337408313
Don Bacon,Republican,Trump,18-20 evening,961,0.1331945889698231
E.B. Johnson D-TX,Democrat,Obama,09-17 work,5786,0.13307984790874525
Randy Hultgren R-IL,Republican,Trump,09-17 work,519,0.1329479768786127
Lisa Blunt Rochester,Democrat,Trump,18-20 evening,211,0.13270142180094788
John Yarmuth D-KY,Democrat,Biden,09-17 work,626,0.13258785942492013
J. Luis Correa,Democrat,Biden,05-08 morning,317,0.13249211356466878
Bruce Poliquin R-ME,Republican,Trump,09-17 work,536,0.13246268656716417
Teresa Leger Fernandez,Democrat,Biden,09-17 work,2062,0.13239573229873908
Marcy Kaptur,Democrat,Biden,09-17 work,1383,0.13232104121475055
Pete King R-NY,Republican,Obama,09-17 work,1625,0.13230769230769232
Mike Thompson,Democrat,Biden,00-04 night,257,0.13229571984435798
Sylvia R. Garcia,Democrat,Biden,09-17 work,3341,0.13229571984435798
Louie Gohmert R-TX,Republican,Trump,05-08 morning,658,0.13221884498480244
H. Morgan Griffith,Republican,Obama,09-17 work,832,0.13221153846153846
Cory A. Booker,Democrat,Biden,00-04 night,250,0.132
Scott Tipton R-CO,Republican,Obama,09-17 work,1450,0.1317241379310345
John Thune,Republican,Obama,05-08 morning,243,0.13168724279835392
Kai Kahele D-HI,Democrat,Biden,05-08 morning,319,0.13166144200626959
Bradley Byrne R-AL,Republican,Trump,09-17 work,4349,0.1315244883881352
Jared Polis D-CO,Democrat,Obama,09-17 work,1179,0.13146734520780323
Thomas R. Suozzi,Democrat,Biden,00-04 night,213,0.13145539906103287
Debbie Dingell,Democrat,Biden,09-17 work,1037,0.13114754098360656
John McCain R-AZ,Republican,Obama,18-20 evening,275,0.13090909090909092
Gary J. Palmer,Republican,Trump,09-17 work,512,0.130859375
Salud O. Carbajal,Democrat,Biden,09-17 work,2576,0.13082298136645962
Heidi Heitkamp D-ND,Democrat,Trump,18-20 evening,543,0.13075506445672191
Chris Pappas,Democrat,Biden,09-17 work,2259,0.13058875608676407
Haley M. Stevens,Democrat,Biden,05-08 morning,307,0.13029315960912052
Tim Kaine,Democrat,Obama,09-17 work,1697,0.13022981732469063
Steve Womack,Republican,Trump II,05-08 morning,361,0.13019390581717452
Cory A. Booker,Democrat,Obama,21-23 late,338,0.1301775147928994
"Cardenas, Tony",Democrat,Obama,09-17 work,3589,0.13011981053218166
Laurel M. Lee,Republican,Trump II,05-08 morning,462,0.12987012987012986
Lloyd Smucker,Republican,Trump,09-17 work,2828,0.12977369165487979
Stephanie Murphy D-FL,Democrat,Trump,09-17 work,1950,0.12974358974358974
Greg Stanton,Democrat,Biden,09-17 work,2205,0.12970521541950114
Billy Long R-MO,Republican,Obama,05-08 morning,1336,0.12949101796407186
Raphael G. Warnock,Democrat,Biden,09-17 work,4805,0.12944849115504684
Dianne Feinstein D-CA,Democrat,Obama,09-17 work,2287,0.1294271972015741
Scott Franklin,Republican,Trump II,09-17 work,379,0.12928759894459102
Suzanne Bonamici,Democrat,Obama,09-17 work,882,0.1292517006802721
Andrew R. Garbarino,Republican,Trump II,05-08 morning,202,0.12871287128712872
Mia Love R-UT,Republican,Trump,09-17 work,731,0.12859097127222982
David Kustoff,Republican,Trump,09-17 work,1221,0.1285831285831286
John Garamendi,Democrat,Obama,09-17 work,3415,0.12855051244509516
Scott H. Peters,Democrat,Biden,09-17 work,1985,0.12846347607052896
Brian K. Fitzpatrick,Republican,Trump II,05-08 morning,366,0.1284153005464481
"Swalwell, Eric",Democrat,Obama,18-20 evening,771,0.12840466926070038
Hillary J. Scholten,Democrat,Biden,09-17 work,1301,0.12836279784780938
Tom Malinowski D-NJ,Democrat,Biden,09-17 work,1379,0.12835387962291517
Luke Messer R-IN,Republican,Obama,09-17 work,1239,0.12832929782082325
Lisa Blunt Rochester,Democrat,Biden,05-08 morning,546,0.1282051282051282
Dina Titus,Democrat,Biden,18-20 evening,414,0.1280193236714976
Kathy Castor,Democrat,Biden,05-08 morning,500,0.128
Roger Williams,Republican,Obama,05-08 morning,211,0.12796208530805686
Beto O'Rourke D-TX,Democrat,Trump,09-17 work,305,0.12786885245901639
Karen Bass D-CA,Democrat,Obama,18-20 evening,266,0.12781954887218044
Bob Corker R-TN,Republican,Trump,09-17 work,760,0.12763157894736843
Andrea Salinas,Democrat,Biden,05-08 morning,384,0.12760416666666666
Denny Heck D-WA,Democrat,Obama,05-08 morning,377,0.1273209549071618
Mike Thompson,Democrat,Biden,18-20 evening,291,0.12714776632302405
Sean Duffy R-WI,Republican,Trump,05-08 morning,834,0.12709832134292565
Lynn Jenkins R-KS,Republican,Obama,09-17 work,3675,0.12707482993197278
"Earl L. ""Buddy"" Carter",Republican,Trump,09-17 work,929,0.12701829924650163
Tim Scott,Republican,Obama,09-17 work,3538,0.12690785754663653
Sean Duffy R-WI,Republican,Trump,09-17 work,2160,0.12685185185185185
Joe Wilson,Republican,Trump,09-17 work,2066,0.12681510164569215
Kim Schrier,Democrat,Trump,09-17 work,828,0.12681159420289856
Ben Cline,Republican,Trump,09-17 work,868,0.12672811059907835
Mike Rounds,Republican,Trump II,09-17 work,442,0.12669683257918551
Haley M. Stevens,Democrat,Trump,05-08 morning,221,0.12669683257918551
Brian K. Fitzpatrick,Republican,Biden,05-08 morning,561,0.1265597147950089
"Tester, Jon",Democrat,Biden,09-17 work,2584,0.12654798761609906
Tom Udall D-NM,Democrat,Obama,09-17 work,2451,0.12647898816809466
Jon Ossoff,Democrat,Biden,18-20 evening,340,0.1264705882352941
Jimmy Panetta,Democrat,Trump,05-08 morning,870,0.12643678160919541
Lauren Underwood,Democrat,Trump,05-08 morning,261,0.12643678160919541
Scott Tipton R-CO,Republican,Trump,09-17 work,1149,0.12619669277632725
Josh Gottheimer,Democrat,Trump,09-17 work,4692,0.12617220801364024
Daniel Webster,Republican,Trump,09-17 work,556,0.12589928057553956
Steve Pearce R-NM,Republican,Obama,09-17 work,2089,0.12589755864049784
Thom Tillis,Republican,Obama,09-17 work,1567,0.12571793235481812
Mike Thompson,Democrat,Obama,05-08 morning,621,0.12560386473429952
Marcy Kaptur,Democrat,Biden,05-08 morning,223,0.12556053811659193
Kendra Horn D-OK,Democrat,Trump,09-17 work,733,0.12551159618008187
Rob Portman R-OH,Republican,Trump,18-20 evening,1523,0.12541037426132634
T.J. Cox D-CA,Democrat,Trump,09-17 work,1835,0.12534059945504086
Danny K. Davis,Democrat,Obama,09-17 work,391,0.12531969309462915
John W. Hickenlooper,Democrat,Biden,09-17 work,3050,0.12524590163934426
Haley M. Stevens,Democrat,Biden,09-17 work,3303,0.12503784438389343
Rick Nolan D-MN,Democrat,Obama,09-17 work,1656,0.125
Kathy Castor,Democrat,Obama,18-20 evening,280,0.125
Joni Ernst,Republican,Trump,00-04 night,240,0.125
Chris Stewart R-UT,Republican,Obama,05-08 morning,488,0.125
John Faso R-NY,Republican,Trump,09-17 work,673,0.12481426448736999
"Graves, Garret",Republican,Obama,09-17 work,1210,0.12479338842975207
"Trone, David",Democrat,Trump,18-20 evening,409,0.12469437652811736
Susan M. Collins,Republican,Trump,18-20 evening,321,0.12461059190031153
Rick Larsen,Democrat,Obama,09-17 work,2906,0.12456985547143841
David Rouzer,Republican,Trump,09-17 work,1132,0.12455830388692579
Joseph D. Morelle,Democrat,Biden,09-17 work,3284,0.12454323995127893
Stephen F. Lynch,Democrat,Biden,09-17 work,732,0.12431693989071038
Tammy Baldwin,Democrat,Obama,18-20 evening,362,0.12430939226519337
Mike Crapo,Republican,Trump II,05-08 morning,515,0.12427184466019417
Al Green,Democrat,Obama,09-17 work,507,0.1242603550295858
Todd Young,Republican,Trump II,05-08 morning,845,0.1242603550295858
Margaret Wood Hassan,Democrat,Biden,18-20 evening,483,0.12422360248447205
Tom Cotton,Republican,Obama,09-17 work,2415,0.12380952380952381
Suzan K. DelBene,Democrat,Trump,18-20 evening,202,0.12376237623762376
"Wild, Susan",Democrat,Biden,09-17 work,2256,0.12367021276595745
Patrick Leahy D-VT,Democrat,Biden,09-17 work,1108,0.12364620938628158
Raphael G. Warnock,Democrat,Biden,18-20 evening,704,0.12357954545454546
"Angus S. King, Jr.",Independent,Trump,05-08 morning,276,0.12318840579710146
Al Lawson D-FL,Democrat,Biden,09-17 work,577,0.12305025996533796
Brendan F. Boyle,Democrat,Obama,09-17 work,2008,0.12300796812749004
Mike Flood,Republican,Trump II,09-17 work,644,0.12267080745341614
Maria Cantwell,Democrat,Biden,05-08 morning,449,0.12249443207126949
Elise M. Stefanik,Republican,Trump,09-17 work,3413,0.12247289774392031
Haley M. Stevens,Democrat,Trump,09-17 work,2559,0.12231340367330988
Gabe Vasquez,Democrat,Biden,09-17 work,933,0.12218649517684887
"Butler, Laphonza",Democrat,Biden,09-17 work,483,0.12215320910973085
Terri A. Sewell,Democrat,Obama,05-08 morning,279,0.12186379928315412
Pete Stauber,Republican,Trump,09-17 work,944,0.12182203389830508
Jon Ossoff,Democrat,Biden,05-08 morning,698,0.12177650429799428
Mike Fitzpatrick R-PA,Republican,Obama,21-23 late,271,0.12177121771217712
Mary Landrieu D-LA,Democrat,Obama,18-20 evening,239,0.12133891213389121
John W. Hickenlooper,Democrat,Biden,18-20 evening,231,0.12121212121212122
Carolyn Bourdeaux D-GA,Democrat,Biden,18-20 evening,289,0.12110726643598616
James P. McGovern,Democrat,Obama,05-08 morning,223,0.1210762331838565
Bobby Rush D-IL,Democrat,Obama,09-17 work,661,0.12102874432677761
"Donald S. Beyer, Jr.",Democrat,Obama,18-20 evening,248,0.12096774193548387
Richard E. Neal,Democrat,Trump,05-08 morning,248,0.12096774193548387
