name,party,era,band,n,share_angry
Mike Quigley,Democrat,Trump II,09-17 work,675,0.5837037037037037
Thomas P. Tiffany,Republican,Trump II,05-08 morning,711,0.5836849507735584
Rashida Tlaib,Democrat,Trump II,00-04 night,216,0.5833333333333334
Andrew Ogles,Republican,Trump II,00-04 night,336,0.5833333333333334
Brittany Pettersen,Democrat,Trump II,05-08 morning,554,0.5830324909747292
"Cloud, Michael",Republican,Biden,09-17 work,718,0.5821727019498607
James Lankford,Republican,Biden,18-20 evening,385,0.5818181818181818
Richard E. Neal,Democrat,Trump II,05-08 morning,306,0.5816993464052288
Mark Pocan,Democrat,Trump II,05-08 morning,762,0.5800524934383202
Ted Lieu,Democrat,Biden,18-20 evening,471,0.5796178343949044
Robin L. Kelly,Democrat,Trump II,05-08 morning,423,0.5791962174940898
Marsha Blackburn,Republican,Biden,00-04 night,1288,0.5791925465838509
Kelly Morrison,Democrat,Trump II,05-08 morning,377,0.5782493368700266
Keith Self,Republican,Biden,05-08 morning,263,0.5779467680608364
Bill Foster,Democrat,Trump II,09-17 work,367,0.5776566757493188
"McCarthy, Kevin",Republican,Biden,09-17 work,329,0.5775075987841946
Judy Chu,Democrat,Trump II,05-08 morning,594,0.5774410774410774
Elise M. Stefanik,Republican,Biden,05-08 morning,4070,0.5771498771498772
Ron Wyden,Democrat,Trump,05-08 morning,969,0.5758513931888545
Ilhan Omar,Democrat,Trump II,09-17 work,1256,0.5756369426751592
Lisa Blunt Rochester,Democrat,Trump II,09-17 work,723,0.5753803596127247
Troy E. Nehls,Republican,Biden,18-20 evening,226,0.5752212389380531
James Comer,Republican,Trump,09-17 work,287,0.5749128919860628
Doris O. Matsui,Democrat,Trump II,09-17 work,562,0.5747330960854092
"Duncan, Jeff",Republican,Biden,05-08 morning,242,0.5743801652892562
Joaquin Castro,Democrat,Trump II,09-17 work,916,0.574235807860262
Marc A. Veasey,Democrat,Trump II,09-17 work,270,0.5740740740740741
Mark Harris,Republican,Trump II,09-17 work,781,0.5736235595390525
Brandon Gill,Republican,Trump II,09-17 work,1784,0.5723094170403588
Lance Gooden,Republican,Trump,09-17 work,610,0.5721311475409836
Juan Vargas,Democrat,Trump II,09-17 work,215,0.5720930232558139
Sydney Kamlager-Dove,Democrat,Trump II,00-04 night,222,0.5720720720720721
Suzan K. DelBene,Democrat,Trump II,05-08 morning,299,0.5719063545150501
Brendan F. Boyle,Democrat,Trump II,05-08 morning,619,0.5718901453957996
Louie Gohmert R-TX,Republican,Biden,09-17 work,413,0.5714285714285714
Ted Cruz,Republican,Biden,05-08 morning,5992,0.5712616822429907
Teresa Leger Fernandez,Democrat,Trump II,09-17 work,597,0.5711892797319933
Elijah Crane,Republican,Biden,05-08 morning,431,0.5707656612529002
Patty Murray,Democrat,Trump,09-17 work,1395,0.5706093189964158
Brittany Pettersen,Democrat,Trump II,09-17 work,686,0.5699708454810496
Lois Frankel,Democrat,Trump II,09-17 work,423,0.5697399527186762
Madison Cawthorn R-NC,Republican,Biden,18-20 evening,395,0.569620253164557
Bonnie Watson Coleman,Democrat,Trump II,05-08 morning,467,0.569593147751606
Kevin Hern,Republican,Biden,05-08 morning,346,0.569364161849711
Brian J. Mast,Republican,Biden,18-20 evening,780,0.5692307692307692
Lauren Boebert,Republican,Biden,05-08 morning,2733,0.5689718258324186
Mazie K. Hirono,Democrat,Trump,09-17 work,294,0.5680272108843537
Andy Biggs,Republican,Biden,18-20 evening,421,0.5676959619952494
Brian Schatz,Democrat,Trump II,05-08 morning,451,0.5676274944567627
Eric Burlison,Republican,Biden,05-08 morning,386,0.5673575129533679
Richard Blumenthal,Democrat,Trump,18-20 evening,1658,0.5663449939686369
Patty Murray,Democrat,Trump,00-04 night,562,0.5658362989323843
Bernard Sanders,Independent,Trump,09-17 work,10315,0.5656810470189045
Bill Hagerty,Republican,Biden,09-17 work,6123,0.56557243181447
Bradley Scott Schneider,Democrat,Trump II,09-17 work,604,0.5645695364238411
Yvette D. Clarke,Democrat,Trump II,09-17 work,535,0.5644859813084112
Rick Scott,Republican,Biden,09-17 work,8669,0.5640789018341216
Chip Roy,Republican,Trump II,05-08 morning,1146,0.5636998254799301
"Buck, Ken",Republican,Biden,09-17 work,385,0.5636363636363636
Mo Brooks R-AL,Republican,Biden,09-17 work,960,0.5635416666666667
"Donald S. Beyer, Jr.",Democrat,Trump,09-17 work,8326,0.56353591160221
Brad Knott,Republican,Trump II,09-17 work,630,0.5634920634920635
James R. Walkinshaw,Democrat,Trump II,09-17 work,323,0.5634674922600619
Steve Cohen,Democrat,Trump,18-20 evening,991,0.5630676084762866
"Vance, J.D. ",Republican,Biden,09-17 work,714,0.5630252100840336
Adam B. Schiff,Democrat,Trump II,00-04 night,567,0.562610229276896
Josh Hawley,Republican,Biden,00-04 night,633,0.5624012638230648
Edward J. Markey,Democrat,Trump II,05-08 morning,553,0.5623869801084991
Rick Scott,Republican,Biden,05-08 morning,2822,0.5623671155209071
Jackie Speier D-CA,Democrat,Trump,05-08 morning,898,0.5612472160356348
Rick Scott,Republican,Biden,21-23 late,221,0.5610859728506787
Eric Schmitt,Republican,Trump II,05-08 morning,1613,0.5610663360198388
Ralph Norman,Republican,Biden,09-17 work,1673,0.5606694560669456
Beth Van Duyne,Republican,Biden,05-08 morning,803,0.5603985056039851
Rosa L. DeLauro,Democrat,Trump II,09-17 work,1119,0.5603217158176944
"Jesús G. ""Chuy"" García",Democrat,Trump II,05-08 morning,384,0.5598958333333334
Steve Cohen,Democrat,Trump,09-17 work,4491,0.5597862391449566
Pat Fallon,Republican,Trump II,05-08 morning,1012,0.5592885375494071
Judy Chu,Democrat,Trump,09-17 work,2157,0.5591098748261474
Rick Scott,Republican,Biden,18-20 evening,968,0.5588842975206612
Patty Murray,Democrat,Trump,05-08 morning,1015,0.5586206896551724
Billy Long R-MO,Republican,Biden,09-17 work,1928,0.5586099585062241
Lisa C. McClain,Republican,Biden,09-17 work,3618,0.5583195135433942
Ayanna Pressley,Democrat,Trump II,09-17 work,1322,0.5582450832072617
Dan Crenshaw,Republican,Biden,05-08 morning,1027,0.557935735150925
Andrew S. Clyde,Republican,Trump II,09-17 work,760,0.5578947368421052
Sean Casten,Democrat,Trump II,00-04 night,900,0.5577777777777778
Hakeem S. Jeffries,Democrat,Biden,00-04 night,312,0.5576923076923077
Christopher Murphy,Democrat,Trump,05-08 morning,1241,0.5576148267526189
