year,month,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2016,2,16690,0.16193376920390215,0.13223487118034752,0.12426381019658898,0.16684516988825243,0.5278294393266683,0.5243278417825853,0.11237980860679976,0.11284857768810384,0.0020845114319445646,-0.0222334955407609
2016,3,23915,0.1609132407771117,0.13384904871419612,0.12354878250344187,0.16360442688970583,0.5402107912002039,0.5371699362131626,0.11543281251711048,0.10847149258773496,0.0017591876385388643,-0.023254023967551357
2016,4,23026,0.16382308446236837,0.13450013028750107,0.11912857645357204,0.1643808106923966,0.5403320023864504,0.5476514323977182,0.11083759491900837,0.10032406713482529,0.001791006596090849,-0.020344180282294677
2016,5,23106,0.16460089942099276,0.1379295421102744,0.12599052350600093,0.1673019974337955,0.5456649976702734,0.5524149355096882,0.1082317304970305,0.11334796622653477,0.001845009176785549,-0.019566365323670287
2016,6,26493,0.24111354093897358,0.2238327105273091,0.17137157662159144,0.234361694670742,0.45555468719242825,0.5003029121719398,0.18814459948517553,0.1351688610861343,0.002008697065958675,0.05694627619431053
2016,7,19250,0.21163315263972315,0.1925194805194805,0.16883315057540918,0.20956000262651253,0.47709826413508166,0.5080965864790676,0.1622914718796995,0.1419707499508105,0.0022764431150988254,0.027465887895060104
2016,8,13662,0.14726570236299347,0.12084614258527301,0.11627592865402274,0.15275265372267188,0.568887241822891,0.549226573210428,0.11215653323497918,0.10139204221796705,0.0022744390336442823,-0.036901562381669584
2016,9,23420,0.20080640124288102,0.17818104184457728,0.1576841919609253,0.20175925617453816,0.47338776823996553,0.5091261662377194,0.14478338759633683,0.13492814212976648,0.0019812819650394265,0.016639136498217966
2016,10,10679,0.15915460335704285,0.13643599587976402,0.1256501518296097,0.1611850287970035,0.5705885515035359,0.5723559251245677,0.12156521317142038,0.10380172769936129,0.0027346994443863183,-0.025012661387620205
2016,11,9470,0.16674379934296168,0.14720168954593452,0.13066430242410457,0.16301513316218938,0.5771873303752248,0.5988864828858017,0.10506428176662054,0.11894794982767526,0.0029771179458702376,-0.017423465401701366
2016,12,13820,0.19941536967363613,0.1772793053545586,0.14523654679950412,0.19435362339497567,0.5175004013687509,0.5487139549670746,0.12353900684112502,0.1253783099702728,0.002596066079996885,0.015248104928973077
2017,1,21803,0.30388950473498316,0.2932623950832454,0.20947583269063408,0.2918785605348738,0.43191126451775647,0.4933287056641322,0.137424959374251,0.126764345563283,0.0024515853550577536,0.015071294620865483
2017,2,19841,0.30999275470373067,0.29958167431077065,0.2103125690323198,0.2972155134475,0.4207808498795553,0.4756130129257312,0.13840861151449363,0.11815450467949604,0.0025716334576627985,0.021174544589612987
2017,3,25673,0.34404033698789727,0.33926693413313597,0.25657272946339504,0.3395007605236843,0.3932099900571014,0.43879981901395365,0.1381006199254896,0.15418461474512699,0.002367710353548056,0.05522212687377959
2017,4,18887,0.2546947389170855,0.24064171122994651,0.1887333197476499,0.24910301399421808,0.47451770851693953,0.5064853632855375,0.1371068838637271,0.12435756195194567,0.002515517797624573,-0.034123471197032185
2017,5,23394,0.3166066470149179,0.30913909549457125,0.23998033623347237,0.31143132780849037,0.4142537490351626,0.4653839340065711,0.14661570306579294,0.15494055488481487,0.002423233531467208,0.02778843690080024
