src,dst,n,anger,sp,dp,cross
P000612,S000148,3,0.6594442427158356,Republican,Democrat,True
C001075,W000817,3,0.855425238609314,Republican,Democrat,True
M001184,P000197,18,0.6526817261344857,Republican,Democrat,True
T000481,S000033,6,0.6120496671646833,Democrat,Independent,False
D000563,M000355,4,0.4313689172267914,Democrat,Republican,True
T000469,S000148,3,0.03769665273527304,Democrat,Democrat,False
P000617,W000817,10,0.27312859874218703,Democrat,Democrat,False
B000825,P000197,3,0.957713782787323,Republican,Democrat,True
P000603,S000033,15,0.6233169011771679,Republican,Independent,False
B000944,M000355,4,0.7364058941602707,Democrat,Republican,True
T000278,S000148,4,0.587928369641304,Republican,Democrat,True
T000266,W000817,3,0.33271345496177673,Democrat,Democrat,False
K000385,P000197,4,0.41326407715678215,Democrat,Democrat,False
G000585,M000355,3,0.8566842476526896,Democrat,Republican,True
C001095,S000148,8,0.7320142015814781,Republican,Democrat,True
F000454,P000197,6,0.4541518722350399,Democrat,Democrat,False
B001230,M000355,5,0.5881355687975883,Democrat,Republican,True
P000622,S000148,9,0.6467526108026505,Republican,Democrat,True
E000299,P000197,3,0.03178621673335632,Democrat,Democrat,False
S000033,M000355,3,0.6343439519405365,Independent,Republican,False
K000367,S000148,3,0.34278869613384205,Democrat,Democrat,False
C001101,P000197,3,0.49957027782996494,Democrat,Democrat,False
L000557,M000355,20,0.6314445521682501,Democrat,Republican,True
B001243,S000148,5,0.626328419148922,Republican,Democrat,True
C001096,P000197,8,0.7892390787601471,Republican,Democrat,True
G000587,M000355,15,0.6898364250858625,Democrat,Republican,True
J000293,S000148,3,0.982820192972819,Republican,Democrat,True
B001274,P000197,7,0.7375165133603981,Republican,Democrat,True
J000288,M000355,7,0.44779752886721064,Democrat,Republican,True
H001089,S000148,4,0.9416104853153229,Republican,Democrat,True
L000582,P000197,3,0.5144766420125961,Democrat,Democrat,False
T000481,M000355,7,0.8902041145733425,Democrat,Republican,True
M001176,S000148,3,0.11826863884925842,Democrat,Democrat,False
W000797,P000197,4,0.16374874976463616,Democrat,Democrat,False
B000711,M000355,3,0.5101274897654852,Democrat,Republican,True
B001291,S000148,5,0.9628015875816345,Republican,Democrat,True
B001298,P000197,4,0.6960848718881607,Republican,Democrat,True
L000577,M000355,3,0.6767827024062475,Republican,Republican,False
F000463,S000148,3,0.976185937722524,Republican,Democrat,True
D000615,P000197,6,0.6644460471967856,Republican,Democrat,True
B001281,M000355,13,0.7195780460651104,Democrat,Republican,True
G000590,S000148,3,0.9067243536313375,Republican,Democrat,True
B001291,P000197,8,0.8354123272001743,Republican,Democrat,True
C001117,M000355,3,0.7236886421839396,Democrat,Republican,True
T000486,S000148,3,0.05425344780087471,Democrat,Democrat,False
F000463,P000197,3,0.4006147136290868,Republican,Democrat,True
M001111,M000355,5,0.6813742890954018,Democrat,Republican,True
B001261,S000148,6,0.872250551978747,Republican,Democrat,True
G000590,P000197,60,0.8135913450270891,Republican,Democrat,True
C001047,M000355,4,0.04159656306728721,Republican,Republican,False
W000437,S000148,7,0.8410500032561166,Republican,Democrat,True
R000614,P000197,15,0.7089887897173563,Republican,Democrat,True
M000087,M000355,4,0.6080367378890514,Democrat,Republican,True
H000601,S000148,5,0.9108110427856445,Republican,Democrat,True
H001080,P000197,3,0.33765326254069805,Democrat,Democrat,False
L000590,M000355,6,0.5511421449482441,Democrat,Republican,True
A000375,P000197,4,0.9393835961818695,Republican,Democrat,True
B001287,M000355,3,0.683656652768453,Democrat,Republican,True
A000377,P000197,7,0.835577130317688,Republican,Democrat,True
R000577,M000355,7,0.6296536400914192,Democrat,Republican,True
K000395,P000197,11,0.909266320141879,Republican,Democrat,True
W000779,M000355,5,0.41329032778739927,Democrat,Republican,True
W000823,P000197,11,0.7373070711777969,Republican,Democrat,True
E000299,M000355,4,0.602877838537097,Democrat,Republican,True
M000317,P000197,4,0.9811900854110718,Republican,Democrat,True
L000570,M000355,4,0.7718775980174541,Democrat,Republican,True
N000026,P000197,4,0.5071566421538591,Republican,Democrat,True
B001300,M000355,5,0.4302029892802238,Democrat,Republican,True
R000515,P000197,3,0.42013273139794666,Democrat,Democrat,False
M001160,M000355,3,0.6748739431301752,Democrat,Republican,True
F000459,P000197,3,0.5343903129299482,Republican,Democrat,True
U000039,M000355,5,0.6307825833559036,Democrat,Republican,True
W000816,P000197,7,0.9140581403459821,Republican,Democrat,True
S001145,M000355,3,0.6031199793020884,Democrat,Republican,True
B001304,P000197,4,0.44700455106794834,Democrat,Democrat,False
T000482,M000355,3,0.8558398882548014,Democrat,Republican,True
M001136,P000197,13,0.7921078640681046,Republican,Democrat,True
H001068,M000355,5,0.6450107611715794,Democrat,Republican,True
C001087,P000197,12,0.6270725348343452,Republican,Democrat,True
W000802,M000355,11,0.6474419571459293,Democrat,Republican,True
E000297,P000197,4,0.14431172842159867,Democrat,Democrat,False
M001207,M000355,5,0.4130558356642723,Democrat,Republican,True
G000587,P000197,5,0.24102104641497135,Democrat,Democrat,False
G000555,M000355,3,0.45703125,Democrat,Republican,True
R000611,P000197,4,0.9157115072011948,Republican,Democrat,True
M000312,M000355,3,0.19122872253259024,Democrat,Republican,True
W000804,P000197,3,0.4100467960039775,Republican,Democrat,True
R000616,M000355,3,0.6559017499287924,Democrat,Republican,True
M001198,P000197,3,0.6458993802467982,Republican,Democrat,True
S001168,M000355,5,0.4343963783234358,Democrat,Republican,True
B000755,P000197,3,0.6309235990047455,Republican,Democrat,True
E000179,M000355,4,0.5957888588309288,Democrat,Republican,True
B001282,P000197,3,0.7831072211265564,Republican,Democrat,True
H001076,M000355,21,0.40472320147923063,Democrat,Republican,True
C001093,P000197,10,0.6688553109765053,Republican,Democrat,True
M001185,M000355,4,0.5000264160335064,Democrat,Republican,True
K000392,P000197,4,0.9699456095695496,Republican,Democrat,True
T000483,M000355,3,0.27222801248232525,Democrat,Republican,True
R000609,P000197,11,0.6804791390895844,Republican,Democrat,True
W000822,M000355,4,0.8149320334196091,Democrat,Republican,True
P000615,P000197,9,0.9401783545811971,Republican,Democrat,True
D000482,M000355,3,0.661492183804512,Democrat,Republican,True
M001210,P000197,3,0.4778994893034299,Republican,Democrat,True
S001203,M000355,4,0.6936087301000953,Democrat,Republican,True
H001088,P000197,16,0.804510772228241,Republican,Democrat,True
B001267,M000355,8,0.505766032030806,Democrat,Republican,True
S000168,P000197,7,0.31405390213642803,Republican,Democrat,True
